filename,berry,butter,cheese,citrus,corn husk,cow,cream,drupe,drupe_aggregate,egg_poultry,fish_freshwater,fish_saltwater,flower,grain/grass,herb/spice,honey,lamb,legume,lizard,meat_undetermined,milk,mouse,multifruit,mushroom,pepo,pig,pome,poultry,pseudocarp,seaweed,shellfish,sugarcane,tea/infusion,vegetable,worm,yogurt
ADNI_Go2_P01_A01.mzXML,726,24,0,112,0,259,31,150,29,41,84,201,80,379,152,32,0,131,0,0,119,47,0,24,56,57,721,53,26,36,41,53,122,323,24,174
ADNI_Go2_P01_A02.mzXML,761,0,28,86,0,354,35,129,26,47,89,217,79,351,130,31,31,142,0,0,182,44,0,25,56,55,660,49,0,33,48,50,132,306,25,331
ADNI_Go2_P01_A03.mzXML,795,0,0,121,0,296,0,130,0,44,87,199,74,375,153,36,0,171,0,0,136,44,0,0,52,56,650,48,0,0,45,60,209,339,0,327
ADNI_Go2_P01_A04.mzXML,803,0,36,116,0,380,35,146,27,49,102,229,93,418,175,32,29,214,0,0,157,51,0,29,68,61,759,51,24,33,55,48,152,387,33,313
ADNI_Go2_P01_A05.mzXML,1020,26,32,84,0,482,40,142,26,47,115,243,91,411,140,30,39,193,0,28,195,50,0,33,56,78,696,58,0,33,62,51,139,339,32,401
ADNI_Go2_P01_A06.mzXML,746,0,0,96,0,412,38,123,0,37,100,227,73,333,115,33,0,172,0,0,195,43,0,0,50,62,712,51,0,0,42,61,154,304,33,475
ADNI_Go2_P01_A07.mzXML,968,29,39,126,0,515,46,179,35,80,172,395,117,518,202,41,43,231,28,26,210,69,0,38,81,90,812,69,31,42,68,56,192,451,41,496
ADNI_Go2_P01_A08.mzXML,769,0,27,106,0,406,36,142,27,51,106,254,89,398,153,32,32,200,0,0,180,47,0,30,60,63,660,48,0,28,54,61,188,347,31,382
ADNI_Go2_P01_A09.mzXML,768,0,31,93,0,366,35,142,26,47,99,218,82,373,138,33,30,193,0,0,172,49,0,30,57,54,712,51,0,32,50,53,132,330,29,316
ADNI_Go2_P01_A10.mzXML,974,0,35,116,0,474,39,150,32,49,111,246,86,447,145,37,37,177,0,0,205,47,0,33,54,76,696,58,0,34,55,62,199,348,0,516
ADNI_Go2_P01_A11.mzXML,775,0,0,105,0,343,42,157,0,41,82,193,83,391,116,38,0,144,0,0,178,40,0,0,48,58,703,55,0,37,45,74,158,321,0,380
ADNI_Go2_P01_A12.mzXML,807,27,30,96,0,463,45,145,27,48,107,240,84,403,142,34,38,200,0,0,205,47,0,29,57,82,755,58,0,37,59,52,144,350,31,454
ADNI_Go2_P01_B01.mzXML,633,0,0,75,0,224,31,116,0,33,65,154,61,283,100,28,0,92,0,0,121,33,0,0,42,43,696,39,0,31,32,52,98,235,0,171
ADNI_Go2_P01_B02.mzXML,683,0,0,93,0,357,34,118,0,37,91,202,66,318,109,33,30,144,0,0,176,42,0,0,42,58,580,52,0,31,43,59,150,277,0,453
ADNI_Go2_P01_B03.mzXML,678,23,25,61,0,316,32,114,0,34,72,164,64,290,97,28,28,126,0,23,154,39,0,0,42,47,699,49,0,32,37,50,88,244,24,254
ADNI_Go2_P01_B04.mzXML,829,0,0,115,0,364,0,145,0,50,90,231,91,406,152,40,0,200,0,0,179,45,0,0,57,59,840,53,0,0,54,67,200,384,0,396
ADNI_Go2_P01_B05.mzXML,931,31,34,138,0,489,43,168,34,64,133,284,112,488,201,43,40,234,0,0,201,66,0,37,80,83,831,64,33,40,67,56,199,453,40,486
ADNI_Go2_P01_B06.mzXML,808,0,0,107,0,383,40,142,0,48,92,222,85,400,144,35,0,175,0,0,182,46,0,0,58,64,724,51,0,33,51,60,187,340,0,396
ADNI_Go2_P01_B07.mzXML,814,0,0,115,0,353,0,141,0,51,99,245,88,403,154,39,0,198,0,0,170,47,0,0,56,67,717,54,0,0,54,67,196,377,0,388
ADNI_Go2_P01_B08.mzXML,837,27,30,89,0,461,46,137,27,47,106,228,83,394,133,31,37,173,0,0,199,46,0,30,57,78,654,56,0,33,55,50,148,328,31,419
ADNI_Go2_P01_B09.mzXML,725,22,24,84,0,393,33,140,28,49,109,216,83,376,135,27,33,184,0,0,182,51,0,28,59,61,539,46,24,31,51,47,126,304,29,346
ADNI_Go2_P01_B10.mzXML,837,0,30,103,0,430,43,160,28,51,111,237,95,455,149,32,34,196,0,0,206,54,0,31,65,76,674,57,0,33,55,53,143,352,33,446
ADNI_Go2_P01_B11.mzXML,776,25,25,85,0,394,40,136,26,45,91,217,76,377,138,30,30,156,0,0,172,45,0,23,55,64,695,56,0,31,50,49,125,307,26,331
ADNI_Go2_P01_B12.mzXML,728,0,0,78,0,358,40,126,0,41,75,170,66,351,107,31,0,133,0,0,195,42,0,0,43,53,748,53,0,34,42,64,113,269,0,315
ADNI_Go2_P01_C01.mzXML,648,24,24,65,0,231,32,120,0,37,73,156,76,309,118,29,0,100,0,0,118,35,0,0,53,43,731,41,0,37,36,51,94,263,0,151
ADNI_Go2_P01_C02.mzXML,815,0,33,129,0,388,45,182,0,53,111,248,103,512,177,39,34,243,0,0,167,61,0,0,71,68,762,56,0,41,54,72,170,396,39,347
ADNI_Go2_P01_C03.mzXML,923,31,30,131,0,487,46,163,29,56,130,264,103,466,169,46,42,217,0,26,193,61,0,31,69,83,860,64,28,41,60,55,146,389,39,423
ADNI_Go2_P01_C04.mzXML,596,25,0,62,0,412,42,108,0,51,136,339,63,294,93,25,36,139,0,0,182,42,0,22,39,62,481,47,0,30,48,42,89,236,26,269
ADNI_Go2_P01_C05.mzXML,737,28,28,103,0,327,40,150,29,43,101,214,88,399,149,34,27,168,0,0,162,47,0,28,59,60,769,57,0,37,48,56,121,333,32,254
ADNI_Go2_P01_C06.mzXML,720,0,0,77,0,353,43,127,0,41,78,171,73,348,109,0,0,130,0,0,198,40,0,0,45,53,790,50,0,35,41,62,119,276,0,311
ADNI_Go2_P01_C07.mzXML,1136,30,35,139,0,502,46,169,0,61,152,289,110,500,186,49,37,236,0,0,214,66,0,32,76,80,786,59,0,37,60,54,207,430,38,589
ADNI_Go2_P01_C08.mzXML,895,0,0,123,0,443,43,175,0,58,110,249,106,501,169,42,38,235,0,0,193,59,0,0,70,74,854,57,0,38,58,70,200,405,0,415
ADNI_Go2_P01_C09.mzXML,816,0,33,102,0,357,38,133,0,43,86,218,81,389,140,31,0,168,0,0,174,42,0,0,53,64,683,56,0,29,44,57,181,330,0,391
ADNI_Go2_P01_C10.mzXML,846,25,33,97,25,384,38,144,26,53,131,298,86,412,140,31,30,193,0,0,170,56,0,0,59,65,722,55,0,34,63,51,132,356,30,360
ADNI_Go2_P01_C11.mzXML,978,0,35,153,0,440,43,193,35,71,141,279,125,553,217,46,36,231,0,0,191,77,0,37,92,70,890,61,35,42,66,68,244,469,41,474
ADNI_Go2_P01_C12.mzXML,829,0,0,111,0,460,47,148,0,48,108,249,93,421,148,38,37,180,0,0,208,45,0,0,62,82,757,59,0,34,59,62,190,358,0,481
ADNI_Go2_P01_D01.mzXML,770,0,31,120,0,297,39,166,33,50,98,225,95,441,166,39,0,153,0,0,124,47,0,0,62,64,713,58,0,42,48,64,175,360,0,236
ADNI_Go2_P01_D02.mzXML,839,0,32,123,0,456,42,149,0,52,114,256,89,417,150,37,38,175,0,0,205,46,0,0,59,78,756,57,0,33,57,62,194,368,0,503
ADNI_Go2_P01_D03.mzXML,862,0,32,111,0,395,39,157,0,53,99,211,96,463,152,34,30,175,0,0,173,52,0,0,65,64,636,51,0,33,52,61,187,345,29,390
ADNI_Go2_P01_D04.mzXML,760,0,0,86,0,352,41,145,0,48,92,183,86,401,121,0,0,161,0,0,197,49,0,0,56,48,695,49,0,0,43,71,176,293,0,328
ADNI_Go2_P01_D05.mzXML,855,0,0,97,0,349,44,134,0,39,85,201,72,364,115,0,0,130,0,0,169,37,0,0,46,67,620,53,0,0,40,67,158,289,0,355
ADNI_Go2_P01_D06.mzXML,616,0,0,90,0,315,30,101,0,33,69,166,60,263,97,28,0,91,0,0,167,29,0,0,34,51,499,42,0,0,36,52,147,235,0,334
ADNI_Go2_P01_D07.mzXML,711,0,0,95,0,375,35,120,0,38,84,208,75,347,113,0,0,183,0,0,178,39,0,0,41,59,688,52,0,0,45,58,152,307,0,416
ADNI_Go2_P01_D08.mzXML,756,0,0,83,0,374,34,126,28,45,94,217,76,356,129,31,32,145,0,0,185,43,0,27,52,63,746,51,0,32,50,48,131,305,0,396
ADNI_Go2_P01_D09.mzXML,884,0,0,126,0,388,40,175,0,54,109,228,99,499,172,38,0,212,0,0,195,57,0,0,68,65,663,50,0,0,54,66,194,378,0,417
ADNI_Go2_P01_D10.mzXML,800,0,0,124,0,390,43,158,0,47,94,215,88,450,164,37,0,170,0,0,199,51,0,0,57,71,906,61,0,39,46,71,182,361,0,352
ADNI_Go2_P01_D11.mzXML,764,0,0,115,0,438,43,148,0,50,104,223,88,408,154,36,39,156,0,0,209,52,0,0,57,70,799,59,0,41,52,62,142,344,0,380
ADNI_Go2_P01_D12.mzXML,1065,31,32,157,0,477,46,177,34,61,133,305,119,521,207,48,40,229,0,27,196,65,26,35,85,85,877,66,33,41,63,53,187,457,39,472
ADNI_Go2_P01_E01.mzXML,727,0,26,111,0,279,36,146,27,41,90,191,84,395,151,33,0,145,0,0,118,43,0,0,54,55,784,49,25,35,41,49,122,335,25,188
ADNI_Go2_P01_E02.mzXML,675,0,0,81,0,355,36,115,0,38,83,190,67,305,104,30,32,125,0,0,176,36,0,0,40,56,579,53,0,30,41,55,141,254,0,400
ADNI_Go2_P01_E03.mzXML,672,0,0,63,0,296,37,119,0,35,75,171,68,335,98,29,0,126,0,0,151,36,0,0,41,55,574,47,0,32,40,53,94,250,0,263
ADNI_Go2_P01_E04.mzXML,948,23,28,121,0,419,39,133,26,48,99,233,89,401,147,38,34,172,0,0,195,48,0,27,59,72,587,55,0,29,51,43,164,346,28,491
ADNI_Go2_P01_E05.mzXML,924,0,0,125,0,364,0,148,0,56,97,240,96,437,160,44,0,189,0,0,179,54,0,0,65,59,776,53,0,0,54,66,232,407,0,453
ADNI_Go2_P01_E06.mzXML,751,29,30,116,0,400,48,153,28,41,112,248,93,418,158,35,32,171,0,0,180,45,0,31,61,78,807,61,26,35,47,51,123,347,34,376
ADNI_Go2_P01_E07.mzXML,770,0,30,83,0,383,40,141,26,47,102,220,82,389,136,31,31,181,0,0,178,48,0,0,57,61,699,53,0,33,50,50,131,318,28,366
ADNI_Go2_P01_E08.mzXML,708,22,0,58,0,335,34,98,0,31,74,171,57,278,85,21,26,114,0,0,152,28,0,0,35,53,443,44,0,27,36,39,83,217,22,260
ADNI_Go2_P01_E09.mzXML,752,0,0,83,0,389,39,143,0,40,93,208,81,376,115,0,33,178,0,0,175,41,0,0,50,63,548,47,0,32,41,52,162,288,0,322
ADNI_Go2_P01_E10.mzXML,930,0,31,125,0,389,39,164,0,60,104,226,98,479,168,40,31,179,0,0,187,60,0,0,73,64,704,53,0,34,53,63,226,385,33,478
ADNI_Go2_P01_E11.mzXML,868,0,0,124,0,386,39,164,0,54,101,229,96,470,156,36,0,193,0,0,185,52,0,0,66,65,638,53,0,35,57,63,195,365,0,416
ADNI_Go2_P01_E12.mzXML,759,0,0,87,0,349,39,133,0,46,84,189,76,357,119,37,0,147,0,0,158,45,0,0,53,57,693,50,0,34,40,61,176,307,31,391
ADNI_Go2_P01_F01.mzXML,764,0,29,112,0,296,38,155,29,46,97,203,91,420,159,36,26,150,0,0,127,47,0,0,61,62,805,54,27,40,47,55,128,346,27,190
ADNI_Go2_P01_F02.mzXML,848,0,31,99,0,374,37,146,28,46,87,218,84,408,142,36,31,168,0,0,175,46,0,0,56,68,863,59,0,34,49,53,143,342,0,350
ADNI_Go2_P01_F03.mzXML,796,27,30,87,0,424,41,135,25,46,100,230,79,388,132,31,33,163,0,0,191,46,0,26,55,72,771,62,0,33,49,52,127,315,28,435
ADNI_Go2_P01_F04.mzXML,774,0,31,118,0,405,42,153,0,48,107,234,91,434,158,35,34,196,0,0,176,47,0,0,57,76,636,63,0,38,52,58,169,363,32,417
ADNI_Go2_P01_F05.mzXML,940,27,32,92,0,441,48,170,28,53,110,247,100,465,158,34,34,207,0,0,197,58,0,28,71,72,840,61,0,36,54,58,145,365,35,343
ADNI_Go2_P01_F06.mzXML,944,0,37,119,0,498,47,176,34,64,123,277,112,525,172,40,37,253,0,0,211,63,0,35,78,79,772,65,0,39,58,66,214,423,38,548
ADNI_Go2_P01_F07.mzXML,921,0,33,143,0,426,45,194,35,60,127,275,120,564,213,40,33,246,0,0,191,65,0,36,83,79,955,61,33,40,62,58,171,462,40,353
ADNI_Go2_P01_F08.mzXML,756,0,26,73,0,301,33,119,0,37,72,170,69,319,101,30,26,144,0,0,146,37,0,0,43,47,628,52,0,32,42,50,99,261,0,267
ADNI_Go2_P01_F09.mzXML,692,0,0,84,0,318,38,120,0,38,72,177,72,313,107,33,0,139,0,0,158,38,0,0,44,49,699,45,0,32,42,60,148,272,0,310
ADNI_Go2_P01_F10.mzXML,895,0,0,115,0,473,53,166,0,58,125,250,103,475,176,41,38,205,0,0,220,62,0,36,69,79,899,69,0,45,57,65,168,402,41,443
ADNI_Go2_P01_F11.mzXML,614,0,0,76,0,348,37,109,0,34,76,189,62,298,99,0,0,107,0,0,171,31,0,0,35,58,558,48,0,29,37,51,140,254,0,328
ADNI_Go2_P01_F12.mzXML,795,24,26,81,0,316,40,144,0,37,80,178,80,381,118,27,0,126,0,0,167,42,0,0,52,60,636,49,0,32,39,53,108,264,24,291
ADNI_Go2_P01_G01.mzXML,732,26,30,103,0,282,40,156,29,44,95,214,91,421,156,32,0,152,0,0,125,46,0,0,59,66,698,56,0,38,43,58,119,335,27,172
ADNI_Go2_P01_G02.mzXML,785,24,26,87,0,397,39,134,29,46,98,218,77,364,130,32,33,156,0,0,192,46,0,29,55,66,699,58,0,33,51,52,136,310,26,405
ADNI_Go2_P01_G03.mzXML,902,28,34,137,0,489,44,176,33,54,127,278,107,508,191,39,40,228,0,0,208,59,0,35,71,90,829,70,30,39,63,53,168,427,36,447
