filename,apple,apple_cider,apricot,artichoke,avocado,banana,basil,bean,beef,blueberry,butter,butterfish,carrot,celery,chicken,coffee,corn,corn husk,cream,cucumber,dragonfruit,egg_chicken,fish_undetermined,garlic,grain_fermented,grape,grape_fermented,herring,honey,lamb,lemon,lentil,lettuce,lizard,mackerel,meat_undetermined,melon,milk,milk_cow,milk_goat,mouse,mushroom,oat,onion,orange,passionfruit,peanut,pear,pepper,pig,quinoa,raspberry,rice,seaweed,silversides,smelt,soda,squid,strawberry,tea,tomato,trout,veal,wheat,worm,yogurt_cow
ADNI_Go2_P01_A01.mzXML,84,609,29,0,0,0,0,96,230,0,24,24,51,0,42,172,43,0,31,31,0,35,35,0,84,31,92,29,32,0,0,0,35,0,50,0,0,0,75,0,47,24,28,40,33,0,0,26,81,57,0,0,59,0,0,0,50,25,26,112,197,76,29,71,0,174
ADNI_Go2_P01_A02.mzXML,81,559,32,0,0,0,0,98,320,0,0,0,60,0,39,162,43,0,35,32,0,40,30,0,95,28,103,0,31,31,0,0,35,0,72,0,0,48,100,34,44,25,0,37,28,0,0,0,69,55,0,0,49,0,0,0,50,28,0,125,239,82,34,64,0,331
ADNI_Go2_P01_A03.mzXML,80,544,0,0,0,0,0,113,271,0,0,0,54,0,38,170,48,0,0,0,0,38,0,0,91,0,102,0,36,0,0,0,35,0,63,0,0,0,83,0,44,0,0,43,35,0,0,0,83,56,0,0,50,0,0,0,58,0,0,202,245,80,0,73,0,327
ADNI_Go2_P01_A04.mzXML,82,652,28,0,0,0,0,158,351,29,0,29,58,0,41,166,50,0,35,38,0,41,30,0,77,32,87,31,32,29,0,29,48,0,63,0,0,49,82,26,51,29,34,49,37,0,0,0,93,61,0,0,69,0,0,25,45,30,24,144,244,94,29,83,30,313
ADNI_Go2_P01_A05.mzXML,85,589,37,0,0,0,0,151,443,0,26,29,56,0,47,395,52,0,40,32,0,40,38,0,131,30,127,27,30,39,0,0,34,0,70,28,0,60,102,33,50,33,0,54,27,0,0,0,79,78,0,0,51,0,0,0,51,38,0,132,241,107,39,69,30,401
ADNI_Go2_P01_A06.mzXML,86,607,0,0,0,0,0,130,377,0,0,0,48,0,43,167,40,0,38,0,0,33,35,0,95,0,97,0,33,0,0,0,0,0,78,0,0,48,116,0,43,0,0,47,0,0,0,0,64,62,0,0,37,0,0,0,59,0,0,145,256,94,35,67,0,475
ADNI_Go2_P01_A07.mzXML,95,689,34,0,0,25,0,164,476,34,29,39,77,0,55,171,70,0,46,44,0,69,41,0,103,38,108,45,41,43,0,31,50,28,136,26,0,60,115,35,69,38,38,52,41,0,29,25,109,90,25,0,76,0,35,39,52,38,31,182,317,162,39,99,36,496
ADNI_Go2_P01_A08.mzXML,85,555,29,0,0,0,0,143,374,0,0,26,61,0,39,170,51,0,36,34,0,42,30,0,86,0,99,0,32,32,0,28,38,0,101,0,0,56,97,27,47,30,30,50,34,0,0,0,65,63,0,0,56,0,0,0,59,31,0,181,247,100,32,82,29,382
ADNI_Go2_P01_A09.mzXML,88,602,32,0,0,0,0,144,332,0,0,27,59,0,40,164,44,0,35,33,0,40,31,0,102,30,109,0,33,30,0,0,35,0,63,0,0,48,98,26,49,30,0,52,31,0,0,0,72,54,0,0,48,0,0,0,53,30,0,125,238,92,34,66,27,316
ADNI_Go2_P01_A10.mzXML,92,580,0,0,0,0,0,127,439,0,0,0,57,0,46,301,50,0,39,0,0,42,0,0,122,0,123,0,37,37,0,0,35,0,82,0,0,59,115,0,47,33,0,47,35,0,0,0,78,76,0,0,55,0,0,0,60,0,0,191,265,104,35,85,0,516
ADNI_Go2_P01_A11.mzXML,98,582,0,0,0,0,0,109,308,0,0,0,54,0,42,162,42,0,42,0,0,36,0,0,107,0,118,0,38,0,0,0,0,0,56,0,0,37,112,0,40,0,0,40,0,0,0,0,69,58,0,0,49,0,0,0,72,0,0,149,228,76,0,72,0,380
ADNI_Go2_P01_A12.mzXML,88,646,32,0,0,0,0,144,426,0,27,29,62,0,47,168,53,0,45,32,0,41,34,0,97,29,107,27,34,38,0,0,38,0,73,0,0,60,113,32,47,29,0,47,28,0,27,0,77,82,0,0,53,0,0,0,52,33,0,137,251,100,37,76,28,454
ADNI_Go2_P01_B01.mzXML,83,596,27,0,0,0,0,68,195,0,0,0,43,0,31,163,32,0,31,0,0,29,30,0,85,0,92,0,28,0,0,0,25,0,36,0,0,0,78,0,33,0,0,31,0,0,0,0,59,43,0,0,37,0,0,0,52,0,0,90,186,59,29,49,0,171
ADNI_Go2_P01_B02.mzXML,75,483,0,0,0,0,0,105,326,0,0,0,44,0,41,170,44,0,34,0,0,32,31,0,87,0,102,0,33,30,0,0,0,0,69,0,0,48,101,0,42,0,0,42,0,0,0,0,63,58,0,0,42,0,0,0,57,0,0,143,195,85,31,61,0,453
ADNI_Go2_P01_B03.mzXML,79,600,28,0,0,0,0,92,284,0,23,0,45,0,38,164,35,0,32,25,0,29,27,0,85,25,96,0,28,28,0,0,23,0,41,23,0,37,92,25,39,0,0,36,0,0,0,0,60,47,0,0,42,0,0,0,50,23,0,82,206,66,32,47,0,254
ADNI_Go2_P01_B04.mzXML,98,717,0,0,0,0,0,147,330,0,0,0,65,0,42,171,56,0,0,0,0,43,0,0,100,0,114,0,40,0,0,0,40,0,78,0,0,48,103,0,45,0,0,52,0,0,0,0,81,59,0,0,54,0,0,0,65,0,0,192,261,82,0,84,0,396
ADNI_Go2_P01_B05.mzXML,100,704,32,0,0,0,0,173,451,34,31,35,73,0,51,172,68,0,43,44,0,54,40,0,102,37,109,35,43,40,0,29,51,0,79,0,0,61,107,33,66,37,34,58,42,0,0,0,102,83,0,0,73,0,0,29,52,38,33,189,291,124,38,94,36,486
ADNI_Go2_P01_B06.mzXML,93,608,32,0,0,0,0,129,350,0,0,0,56,0,41,167,48,0,40,32,0,41,0,0,97,0,108,0,35,0,0,0,37,0,70,0,0,48,106,0,46,0,0,46,34,0,0,0,78,64,0,0,51,0,0,0,58,0,0,179,261,85,33,80,0,396
ADNI_Go2_P01_B07.mzXML,94,598,0,0,0,0,0,146,319,0,0,0,67,0,43,156,54,0,0,0,0,44,0,0,102,0,115,0,39,0,0,0,42,0,87,0,0,42,101,0,47,0,0,49,0,0,0,0,76,67,0,0,52,0,0,0,65,0,0,188,265,91,0,83,0,388
ADNI_Go2_P01_B08.mzXML,83,549,33,0,0,0,0,126,425,0,27,27,60,0,46,225,49,0,46,32,0,40,33,0,95,29,103,28,31,37,0,0,34,0,69,0,0,60,106,33,46,30,28,47,30,0,0,0,75,78,0,0,54,0,0,0,50,31,0,141,246,99,36,72,28,419
ADNI_Go2_P01_B09.mzXML,79,444,30,0,0,0,0,131,363,0,22,29,58,0,36,164,50,0,33,34,0,40,26,0,87,24,97,22,27,33,0,24,28,0,70,0,0,56,99,27,51,28,27,45,28,0,24,0,59,61,0,0,55,22,0,22,47,32,24,119,221,103,30,69,27,346
ADNI_Go2_P01_B10.mzXML,85,568,33,0,0,0,0,139,397,0,0,28,64,0,47,172,55,0,43,36,0,42,32,0,102,30,115,26,32,34,0,28,32,0,76,0,0,59,116,31,54,31,36,51,32,0,0,0,84,76,0,0,67,0,0,0,53,31,0,137,267,103,33,80,30,446
ADNI_Go2_P01_B11.mzXML,82,589,28,0,0,0,0,109,364,0,25,27,56,0,45,162,50,0,40,31,0,38,29,0,94,29,105,26,30,30,0,0,34,0,67,0,0,49,95,28,45,23,25,40,28,0,23,22,75,64,0,0,51,0,0,0,49,31,0,119,240,84,30,68,22,331
ADNI_Go2_P01_B12.mzXML,86,639,0,0,0,0,0,93,328,0,0,0,50,0,42,183,46,0,40,0,0,35,0,0,91,0,104,0,31,0,0,0,0,0,45,0,0,54,113,0,42,0,0,33,0,0,0,0,66,53,0,0,46,0,0,0,64,0,0,107,210,69,30,63,0,315
ADNI_Go2_P01_C01.mzXML,83,631,28,0,0,0,0,72,202,0,24,23,45,0,31,164,37,0,32,31,0,32,29,0,85,24,95,0,29,0,0,0,30,0,31,0,0,0,75,23,35,0,23,32,24,0,0,0,61,43,0,0,45,23,0,0,51,23,0,87,189,67,29,55,0,151
ADNI_Go2_P01_C02.mzXML,92,644,0,0,0,0,0,177,355,0,0,0,56,0,45,169,59,0,45,39,0,45,33,0,98,0,111,0,39,34,0,0,45,0,74,0,0,38,100,0,61,0,43,51,41,0,0,0,96,68,0,0,78,0,0,0,67,0,0,159,220,103,33,102,35,347
ADNI_Go2_P01_C03.mzXML,99,734,33,0,0,0,0,162,450,30,31,35,63,0,51,169,62,0,46,39,0,48,38,0,100,36,107,39,46,42,0,0,42,0,65,26,0,49,113,31,61,31,33,52,43,0,0,0,100,83,0,0,68,0,0,0,52,35,28,136,318,122,37,88,35,423
ADNI_Go2_P01_C04.mzXML,70,396,28,0,0,0,0,103,379,0,25,32,43,0,38,156,40,0,42,23,0,46,29,0,70,0,78,36,25,36,0,0,24,0,131,0,0,46,100,36,42,22,0,34,0,0,0,0,44,62,0,0,37,0,33,32,42,30,0,82,176,131,33,56,23,269
ADNI_Go2_P01_C05.mzXML,89,655,32,0,0,0,0,118,292,0,28,0,53,0,47,165,46,0,40,33,0,37,38,0,86,32,90,32,34,27,0,0,39,0,47,0,0,38,96,28,47,28,33,41,33,0,0,0,83,60,0,0,62,0,0,0,53,0,0,110,203,93,35,74,28,254
ADNI_Go2_P01_C06.mzXML,93,678,0,0,0,0,0,91,320,0,0,0,51,0,40,180,39,0,43,0,0,35,0,0,94,0,100,0,0,0,0,0,0,0,45,0,0,54,115,0,40,0,0,0,0,0,0,0,63,53,0,0,47,0,0,0,62,0,0,112,214,72,33,62,0,311
ADNI_Go2_P01_C07.mzXML,97,666,33,0,0,0,0,169,466,35,30,30,81,0,46,171,70,0,46,42,0,53,35,0,124,45,128,31,49,37,0,0,41,0,85,0,0,62,117,35,66,32,35,58,46,0,36,0,122,80,0,0,65,0,31,30,53,36,0,200,436,145,36,84,34,589
ADNI_Go2_P01_C08.mzXML,102,726,0,0,0,0,0,170,409,0,0,0,67,0,45,176,64,0,43,39,0,49,0,0,111,0,131,0,42,38,0,0,42,0,80,0,0,48,113,0,59,0,0,56,38,0,0,0,90,74,0,0,70,0,0,0,68,0,0,191,268,101,0,98,0,415
ADNI_Go2_P01_C09.mzXML,82,575,0,0,0,0,0,122,329,0,0,0,52,0,47,166,48,0,38,29,0,37,31,0,90,0,97,0,31,0,0,0,35,0,67,0,0,48,100,0,42,0,0,47,32,0,0,0,80,64,0,0,53,0,0,0,55,0,0,173,275,79,0,74,0,391
ADNI_Go2_P01_C10.mzXML,88,610,31,0,0,0,0,143,351,0,25,34,61,0,45,164,54,25,38,33,0,45,36,0,108,34,120,34,31,30,0,0,39,0,96,0,0,48,94,28,56,0,25,50,31,0,0,0,82,65,0,0,53,0,0,29,51,37,0,125,275,122,33,74,27,360
ADNI_Go2_P01_C11.mzXML,105,756,34,0,0,0,0,161,404,35,0,34,79,0,48,175,67,0,43,50,0,59,38,0,111,39,123,34,46,36,0,36,52,0,78,0,0,50,109,32,77,37,43,56,51,0,0,0,115,70,0,0,85,0,0,0,62,38,35,233,290,131,36,108,37,474
ADNI_Go2_P01_C12.mzXML,95,635,35,0,0,0,0,133,424,0,0,0,60,0,48,160,55,0,47,35,0,41,36,0,97,0,109,0,38,37,0,0,39,0,80,0,0,60,114,34,45,0,0,49,36,0,0,0,87,82,0,0,57,0,0,0,60,0,0,182,268,100,36,83,0,481
ADNI_Go2_P01_D01.mzXML,92,594,30,0,0,0,0,115,265,0,0,0,55,0,45,162,49,0,39,35,0,43,34,0,91,30,103,0,39,0,0,0,45,0,61,0,0,0,79,0,47,0,33,39,37,0,0,0,84,64,0,0,65,0,0,0,59,0,0,163,213,90,32,92,0,236
ADNI_Go2_P01_D02.mzXML,98,632,0,0,0,0,0,125,421,0,0,0,61,0,47,167,54,0,42,33,0,44,34,0,98,33,116,32,37,38,0,0,41,0,86,0,0,59,115,0,46,0,0,44,37,0,0,0,78,78,0,0,55,0,0,0,60,33,0,186,266,107,35,88,0,503
ADNI_Go2_P01_D03.mzXML,86,526,29,0,0,0,0,117,365,0,0,0,62,0,41,173,54,0,39,36,0,44,0,0,101,32,114,0,34,30,0,29,34,0,67,0,0,48,97,0,52,0,36,44,38,0,0,0,84,64,0,0,67,0,0,0,59,30,0,180,283,91,30,89,0,390
ADNI_Go2_P01_D04.mzXML,92,583,0,0,0,0,0,105,320,0,0,0,53,0,38,171,43,0,41,0,0,40,0,0,100,0,111,0,0,0,0,0,0,0,50,0,0,55,111,0,49,0,0,37,0,0,0,0,72,48,0,0,58,0,0,0,71,0,0,169,220,85,0,70,0,328
ADNI_Go2_P01_D05.mzXML,82,518,0,0,0,0,0,92,317,0,0,0,51,0,43,297,38,0,44,0,0,0,0,0,104,0,117,0,0,0,0,0,0,0,65,0,0,0,109,0,37,0,0,0,0,0,0,0,67,67,0,0,44,0,0,0,65,0,0,150,209,79,0,74,0,355
ADNI_Go2_P01_D06.mzXML,75,409,0,0,0,0,0,62,285,0,0,0,44,0,33,162,30,0,30,0,0,28,0,0,70,0,85,0,28,0,0,0,0,0,59,0,0,45,98,0,29,0,0,0,0,0,0,0,41,51,0,0,35,0,0,0,50,0,0,140,193,65,30,58,0,334
ADNI_Go2_P01_D07.mzXML,85,582,0,0,0,0,0,141,343,0,0,0,50,0,41,168,49,0,35,0,0,0,0,0,99,0,100,0,0,0,0,0,0,0,76,0,0,48,103,0,39,0,0,47,0,0,0,0,62,59,0,0,43,0,0,0,56,0,0,145,221,77,0,67,0,416
ADNI_Go2_P01_D08.mzXML,84,639,28,0,0,0,0,101,341,0,0,0,60,0,40,160,47,0,34,30,0,38,31,0,90,29,102,0,31,32,0,0,34,0,72,0,0,59,98,28,43,27,0,38,28,0,0,0,72,63,0,0,52,0,0,0,48,28,0,125,242,86,33,65,0,396
ADNI_Go2_P01_D09.mzXML,92,548,0,0,0,0,0,153,357,0,0,0,70,0,40,164,56,0,40,37,0,45,0,0,111,0,125,0,38,0,0,0,0,0,73,0,0,50,114,0,57,0,40,53,39,0,0,0,90,65,0,0,72,0,0,0,64,0,0,187,278,101,0,93,0,417
ADNI_Go2_P01_D10.mzXML,102,773,0,0,0,0,0,121,358,0,0,0,56,0,50,184,53,0,43,0,0,40,36,0,90,0,95,0,37,0,0,0,41,0,51,0,0,55,113,0,51,0,0,42,38,0,0,0,89,71,0,0,68,0,0,0,66,0,0,171,216,86,0,89,0,352
ADNI_Go2_P01_D11.mzXML,93,682,0,0,0,0,0,111,404,0,0,0,60,0,46,182,49,0,43,33,0,42,36,0,91,0,97,0,36,39,0,0,40,0,59,0,0,66,112,0,52,0,0,38,34,0,0,0,79,70,0,0,66,0,0,0,59,0,0,132,199,96,34,77,0,380
