filename,Black Tea,Black tea,Green tea,Matcha tea,Oolong tea,Pu'er tea,apple,apple_cider,apricot,banana,beef,beer,blueberry,butter,cabernet sauvignon,carrot,celery,cherry tomato,chicken thigh,coffee,corn,corn husk,cowpea,cream_cow,cucumber,dragonfruit,durum wheat,egg_chicken,eye,fins,grape,honey,marchigiana beef,meat,milk_cow,milk_goat,orange,organ,peanut,pork,pork shoulder,quinoa,red raspberry,self caught fish,shoulder chops,shoulder roast,skin,soda,soybean,spleen,steak,strawberry,tomato,wheat,white onion,yogurt_cow
ADNI_Go2_P01_A01.mzXML,24,0,0,0,0,0,84,609,0,0,119,46,0,24,0,40,0,146,0,172,34,0,33,0,28,0,0,35,32,0,0,0,0,0,96,0,0,0,0,0,0,0,0,35,0,29,29,50,0,0,0,26,24,0,0,174
ADNI_Go2_P01_A02.mzXML,0,0,0,0,0,0,81,559,0,0,180,55,0,0,0,46,0,182,0,162,34,0,34,0,30,0,0,40,29,0,0,25,0,28,148,34,0,0,0,0,0,0,0,30,0,34,30,50,0,0,0,0,31,0,0,331
ADNI_Go2_P01_A03.mzXML,0,40,0,0,0,0,80,544,0,0,145,50,0,0,0,43,0,185,0,170,38,0,38,0,0,0,0,38,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,34,0,0,327
ADNI_Go2_P01_A04.mzXML,26,0,0,0,0,0,82,652,0,0,190,43,29,0,0,45,0,184,0,166,43,0,62,0,34,0,0,41,35,24,0,24,0,34,131,26,0,0,0,0,0,0,0,30,0,29,32,45,0,23,0,24,29,0,24,313
ADNI_Go2_P01_A05.mzXML,0,0,0,0,0,0,85,589,25,0,255,74,0,26,27,45,0,182,0,395,42,0,56,0,30,0,0,40,39,0,0,0,0,34,162,33,0,0,0,27,0,0,0,38,25,39,35,51,0,35,27,0,31,0,27,401
ADNI_Go2_P01_A06.mzXML,0,0,0,0,0,0,86,607,0,0,217,51,0,0,0,38,0,184,0,167,0,0,48,0,0,0,0,33,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,35,0,35,33,59,0,0,0,0,44,0,0,475
ADNI_Go2_P01_A07.mzXML,36,33,0,0,0,0,95,689,0,25,247,59,34,29,0,58,0,238,0,171,57,0,54,0,40,0,0,69,52,46,26,31,0,59,175,35,0,25,0,26,0,25,0,41,28,39,54,52,0,38,27,31,36,27,25,496
ADNI_Go2_P01_A08.mzXML,0,36,0,0,0,0,85,555,0,0,218,48,0,0,0,50,0,184,0,170,39,0,55,0,31,0,0,42,33,0,0,0,0,35,153,27,0,0,0,0,0,0,0,30,0,32,35,59,0,0,0,0,35,0,0,382
ADNI_Go2_P01_A09.mzXML,0,0,0,0,0,0,88,602,0,0,194,58,0,0,0,48,0,182,0,164,35,0,55,0,31,0,0,40,35,0,0,27,0,29,146,26,0,0,0,0,0,0,0,31,0,34,29,53,0,0,0,0,30,0,26,316
ADNI_Go2_P01_A10.mzXML,0,37,0,0,0,0,92,580,0,0,256,68,0,0,0,46,0,194,0,301,39,0,41,0,0,0,0,42,37,0,0,0,0,33,174,0,0,0,0,0,0,0,0,0,0,35,41,60,0,32,0,0,39,0,0,516
ADNI_Go2_P01_A11.mzXML,0,0,0,0,0,0,98,582,0,0,181,59,0,0,0,42,0,158,0,162,0,0,41,0,0,0,0,36,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,36,0,0,380
ADNI_Go2_P01_A12.mzXML,0,0,0,0,0,0,88,646,0,0,251,55,0,27,0,50,0,184,0,168,41,0,53,0,30,0,0,41,33,0,0,0,0,33,173,32,0,0,0,0,0,0,0,34,0,37,36,52,0,28,0,0,36,0,0,454
ADNI_Go2_P01_B01.mzXML,0,0,0,0,0,0,83,596,0,0,114,46,0,0,0,34,0,142,0,163,0,0,0,0,0,0,0,29,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,30,0,29,0,52,0,0,0,0,0,0,0,171
ADNI_Go2_P01_B02.mzXML,0,0,0,0,0,0,75,483,0,0,191,50,0,0,0,35,0,141,0,170,32,0,41,0,0,0,0,32,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,31,0,31,32,57,0,0,0,0,30,0,0,453
ADNI_Go2_P01_B03.mzXML,0,0,0,0,0,0,79,600,0,0,161,51,0,23,0,33,0,154,0,164,26,0,39,0,23,0,0,29,27,0,0,23,0,0,129,25,0,0,0,0,0,0,0,27,0,32,26,50,0,0,0,0,27,0,0,254
ADNI_Go2_P01_B04.mzXML,0,0,0,0,0,0,98,717,0,0,193,56,0,0,0,50,0,192,0,171,45,0,54,0,0,0,0,43,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,38,0,0,396
ADNI_Go2_P01_B05.mzXML,36,34,0,0,0,0,100,704,0,0,247,59,34,31,0,56,0,213,0,172,56,0,64,0,40,0,0,54,42,31,0,31,0,45,168,33,0,0,0,0,0,0,0,40,0,38,43,52,0,34,27,33,40,0,29,486
ADNI_Go2_P01_B06.mzXML,0,36,0,0,0,0,93,608,0,0,203,56,0,0,0,45,0,195,0,167,38,0,51,0,0,0,0,41,31,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,33,32,58,0,0,0,0,34,0,0,396
