filename,achene,dairy,egg,fleshy fruit,fungi,grain/grass,honey,insect,invertebrate,legume,meat,poultry,reptile,sap,seafood,seaweed,seed,vegetable/herb
5555659.mzXML,0,1078,114,5403,89,1139,70,0,0,479,1240,156,0,0,987,90,0,2514
5555660.mzXML,0,947,97,4366,81,982,73,0,0,349,1179,148,0,0,879,0,0,1996
5555661.mzXML,0,1043,136,5962,98,1237,79,65,73,503,1507,195,51,42,1297,86,0,2254
5555662.mzXML,0,896,98,4388,70,1108,85,46,51,353,1307,146,0,0,904,69,0,1851
5555663.mzXML,0,861,119,5473,78,1350,62,52,65,535,1320,171,42,0,1026,74,48,2220
5556614.mzXML,0,804,87,4460,68,994,73,0,0,337,1166,143,0,0,781,72,0,1947
5556617.mzXML,0,595,82,4239,65,937,57,0,44,325,1119,140,0,0,825,70,0,1611
5556620.mzXML,0,974,119,5611,85,1298,68,70,60,455,1507,170,0,0,1177,79,0,2257
5556623.mzXML,0,999,115,5237,79,1102,82,0,0,463,1269,160,0,0,1121,78,0,2359
5556625.mzXML,0,843,99,4971,76,1084,88,0,0,407,1256,149,0,0,913,78,0,2061
5556637.mzXML,0,783,103,5091,72,997,72,47,49,383,1274,145,0,0,922,81,0,2067
5556638.mzXML,0,865,119,5130,75,1059,68,63,54,443,1322,172,0,0,1090,79,0,2100
5556639.mzXML,0,1238,157,7179,109,1497,89,90,84,625,1896,200,0,0,1405,109,0,2840
5556640.mzXML,0,973,123,5138,89,1162,75,63,56,444,1374,157,0,0,1106,83,0,2239
5556641.mzXML,0,649,94,4564,74,1011,51,50,57,397,1386,154,40,0,1078,90,0,1673
5556652.mzXML,0,614,75,3845,55,766,58,0,0,324,808,127,0,0,648,64,0,1530
5556653.mzXML,0,684,96,4302,63,896,56,44,45,363,1078,145,0,0,768,74,0,1585
5556654.mzXML,0,854,131,4523,79,1066,62,57,54,439,1345,169,0,0,1026,76,0,1838
5556655.mzXML,0,1037,131,5379,93,1289,68,67,69,487,1512,179,0,0,1113,85,0,2284
5556656.mzXML,0,789,109,4236,74,997,61,52,50,437,1243,155,0,0,898,70,0,1739
5556667.mzXML,0,756,91,4323,62,936,67,0,45,337,999,134,0,36,811,76,0,1720
5556668.mzXML,0,930,115,5420,75,1134,80,0,59,443,1289,156,0,0,1009,82,0,2148
5556669.mzXML,0,937,114,5465,75,1128,77,0,58,435,1331,178,0,0,1068,88,0,2226
5556670.mzXML,0,762,92,4260,76,1000,65,51,44,405,1078,144,0,0,789,71,0,1900
5556671.mzXML,0,874,104,4855,79,1056,76,0,0,419,1079,142,0,0,894,78,0,2031
5556682.mzXML,0,1047,124,4950,82,1167,77,71,75,395,1602,171,0,0,1157,78,0,2005
5556685.mzXML,0,1037,122,4870,76,1098,84,64,63,423,1574,155,0,0,1051,80,0,2051
5556686.mzXML,0,839,123,5082,81,1064,77,56,69,505,1453,168,0,0,1146,80,0,2174
5556687.mzXML,0,1221,149,6650,110,1416,91,63,81,583,1855,181,0,0,1336,107,0,2726
5556688.mzXML,0,1025,137,6117,84,1296,83,68,69,534,1495,184,0,0,1155,78,0,2438
5556689.mzXML,0,925,112,5053,84,1193,84,0,58,408,1526,168,0,0,1056,79,0,2195
5556700.mzXML,0,906,124,5447,83,1206,86,75,61,432,1643,170,42,41,1165,109,0,2163
5556701.mzXML,0,912,134,6675,86,1307,95,71,69,549,1614,183,44,43,1142,111,45,2663
5556702.mzXML,0,792,113,4380,77,1080,63,62,59,391,1424,183,39,0,1076,80,0,1904
5556703.mzXML,0,802,98,5050,70,1056,63,53,48,472,1260,150,0,0,960,93,0,2098
5556704.mzXML,31,1064,162,6543,107,1606,74,112,98,620,2264,220,57,42,1614,123,54,2646
5556715.mzXML,0,1025,126,5203,92,1239,68,79,62,504,1386,163,0,0,1195,91,55,2285
5556716.mzXML,0,900,126,5603,76,1150,64,73,59,480,1406,181,0,0,1161,93,0,2211
5556717.mzXML,0,861,80,4634,64,898,62,0,0,339,991,130,0,0,862,78,0,1985
5556718.mzXML,0,886,96,4981,66,927,72,0,0,341,1069,142,0,0,822,64,0,2146
5556719.mzXML,0,775,93,3780,63,843,58,0,0,344,938,138,0,0,814,64,0,1793
5556730.mzXML,0,954,104,5029,80,1135,83,57,57,404,1257,160,0,0,1003,71,0,2091
5556731.mzXML,0,726,96,4725,69,1038,69,0,0,417,1088,142,0,0,944,75,0,2126
5556732.mzXML,0,849,117,4787,78,1134,80,56,54,461,1191,169,0,0,1110,75,0,2085
5556733.mzXML,0,942,115,5737,85,1347,71,66,59,506,1484,169,0,0,1226,98,0,2303
