filename,achene,ant,artificial sweetener,berry,butter,cheese,citrus,corn husk,cow,cream,drupe,drupe_aggregate,egg_poultry,fish_freshwater,fish_saltwater,flower,grain/grass,grasshopper,herb/spice,honey,lamb,legume,lizard,meat_undetermined,milk,mouse,multifruit,mushroom,pepo,pig,pome,poultry,pseudocarp,sap,seaweed,seed,shellfish,sugarcane,tea/infusion,vegetable,waterfowl,worm,yeast,yogurt
5555659.mzXML,0,0,0,2680,0,0,336,123,883,80,424,77,111,268,609,218,1139,0,418,70,0,479,0,0,278,124,0,0,149,128,1605,122,0,0,90,0,110,125,820,778,0,0,0,604
5555660.mzXML,0,0,0,2053,0,0,259,90,848,0,319,0,93,271,508,183,982,0,373,73,0,349,0,0,211,108,0,0,117,120,1461,118,0,0,0,0,100,114,540,668,0,0,0,570
5555661.mzXML,0,0,0,3115,50,71,361,130,1045,70,441,81,129,418,728,246,1237,0,469,79,55,503,51,43,236,183,69,59,170,147,1650,151,58,42,86,0,151,95,460,818,44,73,0,616
5555662.mzXML,0,0,0,2179,41,58,219,106,946,50,323,53,94,292,513,214,1108,0,384,85,40,353,0,0,207,127,51,44,126,129,1376,113,47,0,69,0,99,96,352,666,0,51,0,540
5555663.mzXML,0,0,0,2965,45,47,315,93,905,70,433,67,115,336,578,237,1350,0,474,62,48,535,42,37,234,155,49,46,167,143,1401,136,59,0,74,48,112,91,486,805,0,65,0,465
5556614.mzXML,0,0,0,1951,0,57,267,108,839,0,333,59,83,222,462,189,994,0,384,73,0,337,0,0,204,105,0,0,117,114,1615,112,54,0,72,0,97,103,454,676,0,0,0,451
5556617.mzXML,0,0,0,2074,0,51,207,114,801,49,318,51,79,259,475,160,937,0,342,57,0,325,0,0,168,113,0,0,111,109,1384,110,46,0,70,0,91,91,291,583,0,44,0,286
5556620.mzXML,0,0,0,2877,0,67,307,136,1085,65,433,72,116,346,690,228,1298,0,431,68,0,455,0,0,220,163,66,0,155,148,1615,137,69,0,79,0,141,103,551,777,0,60,0,573
5556623.mzXML,0,0,0,2605,0,0,306,107,900,0,409,0,111,324,676,224,1102,0,499,82,0,463,0,0,251,132,0,0,141,129,1589,126,0,0,78,0,121,107,588,797,0,0,0,579
5556625.mzXML,0,0,0,2368,0,54,265,131,887,0,335,56,96,266,539,210,1084,0,410,88,0,407,0,0,208,130,65,0,127,126,1690,115,0,0,78,0,108,107,469,699,0,0,0,488
