filename,achene,dairy,egg,fleshy fruit,fungi,game meat,gastropod,grain/grass,honey,insect,invertebrate,legume,meat,mineral,nut,poultry,reptile,sap,seafood,seaweed,seed,vegetable/herb
4050195729.mzXML,0,1463,160,4701,112,0,0,1077,54,72,80,489,2136,0,0,200,63,0,1622,64,0,1915
4050195741.mzXML,0,1331,185,4362,109,0,0,1069,62,92,100,497,2313,0,0,240,70,0,1773,63,0,1957
4050195201.mzXML,0,1443,314,5406,147,43,0,1583,60,141,167,776,3401,0,0,334,112,0,2598,73,73,2398
4050195213.mzXML,0,1227,114,3879,92,0,0,826,47,55,66,360,1427,0,0,146,41,0,1069,53,0,1512
4050195225.mzXML,0,1348,153,4018,95,0,0,901,45,60,74,419,1948,0,0,186,59,0,1557,49,0,1571
4050195683.mzXML,0,925,96,3229,75,0,0,621,0,0,0,247,890,0,0,115,0,0,699,0,0,1855
4050195695.mzXML,28,1449,295,4522,141,43,32,1551,52,152,173,782,3462,27,16,342,116,28,2643,63,83,2027
4050195816.mzXML,0,1519,225,4833,132,0,0,1291,66,91,108,576,2701,0,0,286,84,0,2017,65,0,2145
4050195828.mzXML,0,1452,234,5073,139,0,0,1438,57,115,116,709,2725,0,0,278,77,0,1992,71,66,2326
4050195840.mzXML,0,1292,151,4353,97,0,0,1012,64,77,75,447,1961,0,0,209,59,0,1449,59,38,1723
4050195852.mzXML,0,1488,179,4979,110,0,0,1297,66,90,102,633,2447,0,0,244,67,0,1630,66,57,2120
4050195684.mzXML,0,1706,234,5190,137,0,0,1327,54,115,116,600,2882,0,0,265,85,0,2169,78,47,2194
4050195696.mzXML,0,1290,119,3971,97,0,0,819,59,55,69,417,1580,0,0,154,47,0,1102,54,0,1715
4050201916.mzXML,0,1374,176,4072,115,0,0,1072,49,75,88,532,2265,0,0,228,68,0,1681,61,49,1813
4050201928.mzXML,0,1608,245,5015,140,0,0,1333,60,93,105,610,2708,0,0,265,73,0,1968,76,53,2212
4050201940.mzXML,0,1619,255,5397,147,0,0,1619,64,138,152,839,3098,0,0,331,102,0,2360,79,78,2379
4050202049.mzXML,0,1156,119,3315,94,0,0,765,50,54,58,353,1569,0,0,160,45,0,1089,46,32,1446
4050202061.mzXML,0,1443,261,4892,136,0,0,1404,54,122,135,720,2962,0,0,315,78,0,2421,83,65,2188
4050202073.mzXML,0,1616,227,5504,131,0,0,1418,71,109,107,652,2657,0,0,285,77,0,1968,79,62,2407
4050202085.mzXML,0,1416,180,4651,113,0,0,1182,0,91,90,510,2375,0,0,235,61,0,1807,73,0,2044
4050202097.mzXML,0,1026,123,3634,82,0,0,792,60,0,0,370,1240,0,0,121,0,0,881,0,0,1754
4050195752.mzXML,0,978,108,3609,93,0,0,791,50,53,57,472,1119,22,0,120,37,0,794,38,33,1390
4050195224.mzXML,0,1219,200,4503,121,0,0,1246,52,98,112,584,2470,0,0,245,80,0,1833,61,40,2028
4050195717.mzXML,0,987,148,3335,86,0,0,763,49,50,75,383,1656,0,0,181,54,0,1108,44,0,1500
4050203503.mzXML,0,1349,142,4557,117,0,0,1037,55,64,79,506,1967,0,0,208,52,0,1264,61,0,1912
4050203515.mzXML,0,1391,196,4173,120,0,0,1181,60,91,101,571,2528,0,0,271,66,0,1748,63,0,2098
4050203539.mzXML,0,1469,270,5300,142,0,0,1492,57,133,134,748,3199,0,0,331,103,0,2610,79,67,2499
4050203359.mzXML,0,1432,226,5300,134,0,0,1483,52,108,118,698,2730,0,0,239,64,0,2151,80,60,1980
