filename,achene,ant,artificial sweetener,berry,bison,butter,cheese,citrus,corn husk,cow,cream,cricket,drupe,drupe_aggregate,egg_poultry,fish_freshwater,fish_saltwater,flower,grain/grass,grasshopper,herb/spice,honey,lamb,legume,lizard,meat_undetermined,milk,mineral,mouse,multifruit,mushroom,not provided,nut,pepo,pig,pome,poultry,pseudocarp,rabbit,rat,sap,seaweed,seed,shellfish,snail,sugarcane,tea/infusion,truffle,vegetable,waterfowl,worm,yeast,yogurt
4050195729.mzXML,0,0,0,2391,0,0,64,224,0,1569,72,0,312,54,145,466,989,196,1077,0,373,54,80,489,63,50,333,0,207,0,68,0,0,128,194,1483,157,0,0,0,0,64,0,167,0,72,458,0,748,0,80,0,954
4050195741.mzXML,0,0,0,2097,0,0,59,210,0,1676,93,0,331,0,172,517,1054,192,1069,0,369,62,88,497,70,61,332,0,219,0,71,0,0,124,233,1446,189,0,0,0,0,63,0,202,0,87,477,0,767,0,100,0,799
4050195201.mzXML,0,0,0,3029,0,55,48,362,43,2502,112,45,447,72,300,761,1496,286,1583,59,480,60,125,776,112,72,403,0,321,62,81,0,0,185,324,1164,264,63,43,0,0,73,73,341,0,77,500,0,975,70,167,0,825
4050195213.mzXML,0,0,0,1875,0,0,48,153,0,1041,74,0,249,44,106,319,632,161,826,0,290,47,59,360,41,0,291,0,123,0,60,0,0,103,138,1366,110,0,0,0,0,53,0,118,0,74,312,0,615,0,66,0,774
4050195225.mzXML,0,0,0,2094,0,0,54,159,0,1421,77,0,248,42,144,458,924,171,901,0,295,45,75,419,59,41,303,0,184,0,61,0,0,109,195,1275,139,0,0,0,0,49,0,175,0,71,333,0,632,47,74,0,876
4050195683.mzXML,0,0,0,1589,0,0,0,244,0,618,0,0,214,0,93,176,433,133,621,0,308,0,0,247,0,0,211,0,81,0,0,0,0,83,108,964,92,0,0,0,0,0,0,90,0,99,662,0,608,0,0,0,595
4050195695.mzXML,28,27,17,2582,36,59,63,345,49,2530,107,51,413,64,281,796,1524,269,1551,68,420,52,121,782,116,65,398,27,334,60,76,18,16,165,352,808,273,67,43,24,28,63,83,323,32,56,339,36,871,69,173,29,822
4050195816.mzXML,0,0,0,2417,0,0,0,283,0,1945,89,0,365,72,208,594,1202,208,1291,0,398,66,105,576,84,60,367,0,275,0,78,0,0,148,271,1429,219,0,0,0,0,65,0,221,0,103,515,0,853,67,108,0,960
4050195828.mzXML,0,0,0,2764,0,55,63,311,55,1982,90,0,410,75,218,605,1158,247,1438,61,432,57,107,709,77,61,357,0,270,55,77,0,0,164,260,1213,218,57,0,0,0,71,66,229,0,93,563,0,901,60,116,0,887
4050195840.mzXML,0,0,0,2119,0,41,68,222,38,1425,74,0,301,45,143,432,840,188,1012,0,339,64,73,447,59,51,269,0,189,44,61,0,0,121,189,1444,164,39,0,0,0,59,38,177,0,77,322,0,730,45,75,0,840
4050195852.mzXML,0,0,0,2576,0,53,71,266,0,1793,80,0,356,54,170,504,950,233,1297,0,408,66,95,633,67,63,355,0,222,0,69,0,0,162,235,1436,188,57,0,0,0,66,57,176,0,77,483,0,839,56,102,0,929
4050195684.mzXML,0,0,0,2885,0,54,66,308,0,2143,100,0,361,63,219,626,1276,230,1327,54,407,54,106,600,85,63,406,0,274,53,78,0,0,150,250,1285,207,64,0,0,0,78,47,267,0,87,497,0,893,58,116,0,1080
4050195696.mzXML,0,0,0,2001,0,0,50,218,0,1160,61,0,242,47,112,304,670,161,819,0,323,59,69,417,47,41,294,0,140,0,63,0,0,110,141,1262,118,0,0,0,0,54,0,128,0,71,419,0,670,0,69,0,846
4050201916.mzXML,0,0,0,2137,0,41,52,203,42,1642,82,0,303,45,163,503,982,200,1072,0,357,49,93,532,68,50,319,0,212,48,67,0,0,135,230,1127,177,55,0,0,0,61,49,196,0,74,380,0,731,51,88,0,880
4050201928.mzXML,0,0,0,2672,0,52,63,296,41,1990,98,0,368,68,230,594,1142,246,1333,41,442,60,103,610,73,58,394,0,250,56,80,0,0,169,262,1292,212,72,0,0,0,76,53,232,0,79,466,0,900,53,105,0,1001
4050201940.mzXML,0,0,0,2905,0,58,61,353,0,2259,117,0,474,89,242,715,1370,274,1619,59,431,64,112,839,102,63,435,0,306,58,80,0,0,172,305,1246,264,74,0,0,0,79,78,275,0,98,520,0,971,67,152,0,948
4050202049.mzXML,0,0,0,1445,0,42,43,159,30,1129,68,0,231,39,113,306,656,160,765,0,302,50,65,353,45,41,268,0,139,31,57,0,0,112,168,1244,126,38,0,0,0,46,32,127,0,73,235,0,617,34,58,0,735
4050202061.mzXML,0,0,0,2654,0,55,68,326,58,2143,100,0,411,73,243,719,1413,242,1404,55,415,54,115,720,78,64,367,0,307,58,75,0,0,161,280,1138,252,54,0,0,0,83,65,289,0,81,500,0,860,63,135,0,853
4050202073.mzXML,0,0,0,2860,0,58,73,290,0,1925,104,0,397,70,214,590,1150,248,1418,0,455,71,98,652,77,58,382,0,273,0,75,0,0,168,257,1576,226,66,0,0,0,79,62,228,0,99,546,0,983,59,107,0,999
4050202085.mzXML,0,0,0,2462,0,0,0,261,0,1754,84,0,335,71,170,494,1085,195,1182,0,377,0,93,510,61,59,376,0,208,0,61,0,0,134,219,1269,186,0,0,0,0,73,0,228,0,90,514,0,796,0,90,0,851
4050202097.mzXML,0,0,0,1864,0,0,0,191,0,900,0,0,233,0,115,246,522,157,792,0,314,60,0,370,0,0,246,0,115,0,0,0,0,103,117,1103,93,0,0,0,0,0,0,113,0,85,478,0,645,0,0,0,659
4050195752.mzXML,0,0,23,1763,0,22,46,172,41,812,41,0,241,42,102,235,464,165,791,23,289,50,41,472,37,32,207,22,110,37,57,0,0,114,103,1182,88,40,0,0,0,38,33,95,0,55,194,24,617,32,57,0,662
4050195224.mzXML,0,0,0,2383,0,49,60,268,45,1779,105,0,354,58,192,559,1039,227,1246,50,401,52,99,584,80,70,344,0,237,43,71,0,0,145,245,1180,187,51,0,0,0,61,40,235,0,74,415,0,833,58,112,0,661
4050195717.mzXML,0,0,0,1693,0,42,43,159,0,1187,70,0,237,37,143,327,645,146,763,0,271,49,65,383,54,43,262,0,150,0,58,0,0,106,180,1031,139,0,0,0,0,44,0,136,0,82,336,0,604,42,75,0,570
4050203503.mzXML,0,0,0,2254,0,45,53,215,0,1437,72,0,311,56,134,372,736,218,1037,0,375,55,79,506,52,49,328,0,180,0,72,0,0,136,186,1468,162,54,0,0,0,61,0,156,0,81,392,0,768,46,79,0,851
4050203515.mzXML,0,0,0,2025,0,0,61,256,0,1870,87,0,330,60,188,522,1029,197,1181,0,372,60,100,571,66,0,348,0,210,0,71,0,0,133,249,1255,212,0,0,0,0,63,0,197,0,109,559,0,791,59,101,0,844
4050203539.mzXML,0,0,0,2870,0,58,67,320,57,2348,106,0,413,66,256,755,1537,289,1492,61,484,57,126,748,103,78,426,0,293,55,77,0,0,185,299,1292,263,75,0,0,0,79,67,318,0,90,510,0,1029,68,134,0,812
4050203359.mzXML,0,0,0,2856,0,59,58,268,49,2070,110,0,398,71,207,604,1277,240,1483,49,370,52,98,698,64,65,418,0,229,55,71,0,0,162,223,1404,187,64,0,0,0,80,60,270,0,83,381,0,820,52,118,0,787
4050203371.mzXML,0,0,0,2501,0,58,54,280,0,2235,101,0,370,71,228,690,1389,236,1328,55,426,54,119,676,93,77,420,0,285,47,72,0,0,154,278,1250,246,65,0,0,0,71,59,290,0,80,414,0,854,65,130,0,678
4050203468.mzXML,0,0,0,1568,0,0,44,151,0,861,57,0,202,0,90,252,466,133,638,0,240,49,49,322,0,0,244,0,104,0,53,0,0,79,124,976,92,0,0,0,0,0,0,91,0,67,248,0,515,0,60,0,731
4050203480.mzXML,0,0,0,1552,0,0,46,194,39,980,40,0,238,35,97,275,554,156,773,30,293,48,64,385,44,36,224,0,140,36,61,0,0,105,146,1057,104,40,0,0,0,36,32,98,0,62,309,31,597,30,56,0,777
4050203492.mzXML,0,0,0,1697,28,50,50,201,41,1908,107,31,320,46,184,570,1118,188,1108,42,302,46,97,536,74,62,379,0,201,43,64,0,0,121,233,1129,184,33,33,0,0,54,48,230,0,63,249,27,629,53,104,25,880
4050202698.mzXML,0,0,0,2607,0,53,64,339,0,2095,103,0,436,69,233,639,1300,284,1519,0,470,60,107,775,95,61,415,0,278,63,87,0,0,182,318,1298,250,74,0,0,0,71,67,255,0,103,636,0,999,59,137,0,934
4050202807.mzXML,0,0,0,2552,0,39,59,310,47,1813,78,0,383,56,201,500,1020,259,1324,47,421,56,86,740,78,60,344,0,232,57,71,0,0,149,247,967,202,50,0,0,0,56,64,203,0,67,547,37,882,51,121,0,1016
4050202819.mzXML,0,0,0,1507,0,37,45,186,34,1255,58,0,271,36,139,378,750,176,891,0,317,54,70,484,59,44,261,0,144,38,58,0,0,113,153,951,128,36,0,0,0,40,38,155,0,65,313,0,626,37,76,0,717
4050202831.mzXML,0,0,0,1603,0,0,47,189,0,844,50,0,227,0,93,258,557,150,788,0,284,52,53,357,43,41,236,0,105,0,48,0,0,93,134,1049,93,0,0,0,0,0,0,109,0,74,328,0,585,0,63,0,670
4050202843.mzXML,0,0,0,1933,0,0,62,212,0,1874,90,0,313,0,211,632,1180,188,1098,0,341,60,93,550,85,57,386,0,269,0,67,0,0,126,259,1424,209,0,0,0,0,64,0,212,0,99,470,0,739,61,108,0,992
4050203394.mzXML,0,0,0,1738,0,39,52,177,43,1251,73,0,239,38,123,379,776,153,837,0,270,48,68,360,50,43,249,0,156,0,56,0,0,96,184,1154,147,39,0,0,0,53,0,143,0,70,246,0,595,41,63,0,777
4050203406.mzXML,0,0,0,2711,0,55,56,291,0,2374,102,0,383,65,245,659,1293,240,1402,0,390,62,113,648,91,71,393,0,258,55,73,0,0,157,271,1397,239,63,0,0,0,77,59,285,0,93,502,0,840,62,129,0,860
4050203418.mzXML,0,0,0,1900,0,0,58,203,0,1352,74,0,266,52,164,415,856,187,922,0,359,53,77,404,66,48,309,0,188,0,68,0,0,116,206,1253,159,0,0,0,0,51,0,170,0,77,441,0,712,45,80,0,886
4050202855.mzXML,32,35,26,3151,37,61,63,372,68,2815,116,39,484,70,323,805,1601,310,1868,66,502,47,130,900,121,77,449,25,332,66,79,0,0,203,353,1102,313,71,42,0,28,76,85,347,32,62,416,39,1053,74,156,39,878
4050202867.mzXML,0,0,0,1509,0,0,40,158,43,866,50,0,219,28,93,261,534,144,721,27,256,46,48,396,50,31,225,0,100,32,49,0,0,86,134,949,87,34,0,0,0,32,34,111,0,53,237,0,517,0,66,0,682
4050202687.mzXML,0,0,0,1274,0,0,0,159,0,525,0,0,181,0,67,154,373,102,512,0,240,0,0,212,0,0,193,0,66,0,0,0,0,68,83,835,68,0,0,0,0,0,0,71,0,79,429,0,480,0,0,0,456
4050201834.mzXML,0,0,0,2114,0,43,56,233,40,1579,75,0,291,48,138,440,880,193,1081,0,342,64,85,461,57,51,324,0,174,43,71,0,0,119,187,1311,153,45,0,0,0,60,40,164,0,87,369,0,724,44,85,0,942
4050201846.mzXML,0,0,0,2212,0,37,53,267,46,1448,67,0,322,57,168,474,938,203,1187,44,339,44,86,544,63,42,312,29,216,47,63,0,0,126,216,740,166,52,0,0,0,55,51,199,0,58,402,34,732,50,92,0,758
4050201955.mzXML,0,0,0,1909,0,0,0,228,0,1522,78,0,270,54,181,457,948,166,936,0,347,53,87,404,68,0,305,0,215,0,55,0,0,109,204,874,180,0,0,0,0,54,0,202,0,90,557,0,682,0,83,0,705
4050201967.mzXML,0,0,0,2350,0,56,63,251,0,1897,80,0,346,60,199,565,1083,214,1331,52,403,60,104,644,73,58,374,0,254,0,75,0,0,152,265,1358,219,53,0,0,0,70,64,207,0,96,463,0,866,58,102,0,876
4050201979.mzXML,0,0,0,1516,0,44,52,195,35,1646,81,0,275,43,177,503,1020,169,978,35,292,52,82,486,74,51,314,0,231,0,62,0,0,111,226,1085,187,41,0,0,0,50,47,196,0,71,316,0,620,49,84,0,706
4050201991.mzXML,0,0,0,2783,0,59,68,322,50,2218,105,0,453,81,252,728,1397,280,1551,55,476,60,110,860,98,61,393,0,311,55,80,0,0,190,297,1351,254,67,0,0,0,70,74,289,0,77,476,0,1006,72,144,0,743
4050202003.mzXML,0,0,0,2240,0,50,66,239,49,1917,84,0,326,66,205,570,1172,199,1252,47,367,55,107,629,84,56,348,0,269,45,66,0,0,137,260,1118,213,47,0,0,0,60,53,227,0,70,463,0,752,60,108,0,894
4050201823.mzXML,0,0,0,2156,0,50,56,211,0,1621,81,0,300,51,159,508,975,189,1029,0,325,53,88,463,56,51,317,0,203,0,63,0,0,121,211,1230,188,0,0,0,0,65,0,179,0,72,410,0,698,54,99,0,820
4050193521.mzXML,0,0,0,2477,0,38,43,270,33,1271,71,0,330,55,139,370,724,208,1104,35,342,51,75,523,53,47,345,0,181,47,63,0,0,139,179,1071,147,55,0,0,0,56,46,146,0,66,401,0,728,41,93,0,787
4051880931.mzXML,0,0,0,1557,0,0,41,165,40,752,42,0,211,33,99,229,475,163,701,0,298,48,45,409,38,35,228,0,96,31,53,0,0,88,113,950,78,31,0,0,0,31,0,101,0,64,388,0,578,0,53,0,688
4053745945.mzXML,0,0,0,2012,0,60,53,264,0,2254,106,0,381,55,241,713,1428,221,1381,57,350,52,123,650,102,72,386,0,305,50,64,0,0,149,322,1128,272,59,0,0,0,68,75,312,0,90,353,0,759,69,134,0,754
4050196027.mzXML,36,0,0,2729,40,57,58,345,44,2647,126,43,449,74,303,838,1715,284,1646,75,458,55,140,781,107,88,435,32,347,59,70,0,0,175,354,1261,320,64,41,0,0,82,78,362,36,75,367,35,976,85,164,35,721
4053751812.mzXML,0,0,0,2560,0,63,63,295,0,2196,127,0,437,74,240,757,1516,231,1487,74,412,66,136,671,91,77,419,0,289,0,76,0,0,157,295,1352,263,0,0,0,0,81,68,300,0,93,484,0,894,74,139,0,921
4053750778.mzXML,0,0,0,3272,0,63,72,362,45,2611,120,50,482,76,280,819,1690,292,1720,75,482,68,141,826,114,83,480,0,340,65,91,0,0,190,329,1409,279,69,44,0,0,85,83,351,0,88,548,0,1037,74,161,0,1071
4051880978.mzXML,0,0,0,2196,0,0,62,253,0,1176,67,0,284,0,128,353,751,202,985,0,387,71,64,438,0,0,309,0,158,0,68,0,0,123,174,1377,124,0,0,0,0,0,0,136,0,88,544,0,799,0,67,0,947
4050196101.mzXML,0,0,0,2681,0,0,78,259,0,1787,89,0,378,64,184,555,1114,227,1302,0,428,68,93,598,74,58,355,0,249,0,71,0,0,156,224,1544,199,55,0,0,0,79,0,221,0,96,546,0,894,52,102,0,975
4050201919.mzXML,0,0,0,2263,0,56,56,256,43,2024,99,32,387,60,222,659,1313,232,1356,50,346,56,89,651,81,55,395,0,268,51,73,0,0,146,264,1276,230,57,34,0,31,75,63,261,0,76,277,31,782,59,115,0,848
4050201931.mzXML,0,0,0,2403,0,0,59,333,0,1757,99,0,386,72,204,574,1145,233,1317,0,445,77,96,637,76,0,384,0,238,0,76,0,0,150,270,1433,220,0,0,0,0,74,0,233,0,95,586,0,954,59,112,0,948
