filename,ahi tuna,almond,amaranth,anchovy,ant,apple,apple_cider,apricot,artichoke,artificial sweetener,arugula,asparagus,avocado,banana,barley,basil,bay leaf,bean,beef,beet,betel nut,bison,blackberry,blueberry,bonito,bony fish,broccoli,brussel sprout,bulgur wheat,butter,butterfish,cabbage,canola,cardamom,carrot,cashew,cauliflower,celery,chard,cheddar cheese,cherry,chia,chicken,cicerchia,cilantro,clementine,coconut,cod,coffee,corn,corn husk,cream,cricket,cucumber,dill,dragonfruit,duck,egg_chicken,egg_quail,eggplant,farro,fava bean,fig,fish_undetermined,flax seed,flower,garlic,ginger,goat cheese,grain_fermented,grape,grape_fermented,grapefruit,grasshopper,ground cherry,guava,hazelnut,hearts of palm,hemp seed,herring,honey,infusion,kale,kelp,kumquat,lamb,langostino,lemon,lentil,lettuce,lime,lizard,macadamia,mackerel,mandarin,mango,maple syrup,marigold,meat_undetermined,melon,milk,milk_cow,milk_goat,mint,mouse,mushroom,nasturtium,oat,onion,orange,oregano,parsley,passionfruit,pea,peach,peanut,pear,pepper,pig,pine nut,pineapple,pistachio,plantain,pomelo,poppy seed,potato,pumpkin,quinoa,rabbit,radish,raspberry,rat,rhubarb,rice,rock fish,rosemary,salmon,salt,sardine,seaweed,sesame,shrimp,silkworm,silversides,smelt,snail,soda,spinach,squash,squid,strawberry,sunflower,sweet potato,tea,thyme,tomato,trout,truffle black,turkey,veal,walnut,wheat,worm,yeast,yogurt_cow
4050195729.mzXML,0,0,0,0,0,129,1293,0,0,0,0,0,0,53,0,0,0,370,1473,0,0,0,0,61,0,0,0,0,0,0,94,0,0,0,110,0,0,0,0,0,0,0,130,0,0,0,0,0,504,130,0,72,0,66,0,0,0,123,0,0,0,0,0,88,0,0,0,0,0,173,73,157,0,0,0,0,0,0,0,129,54,0,0,0,0,80,0,0,61,85,0,63,0,349,0,0,0,0,50,0,113,167,53,0,207,68,0,95,108,68,0,0,0,0,0,0,53,241,194,0,0,0,0,0,0,0,0,60,0,0,0,0,0,190,0,0,0,0,0,0,0,50,0,69,121,0,60,0,0,89,0,0,0,442,0,1002,436,0,0,96,0,196,70,0,954
4050195741.mzXML,0,0,0,0,0,134,1250,0,0,0,0,0,0,0,0,0,0,378,1580,0,0,0,0,55,0,0,0,0,0,0,97,0,0,0,129,0,0,0,0,0,0,0,153,0,0,0,0,0,568,120,0,93,0,65,0,0,0,145,0,0,0,0,0,91,0,0,0,0,0,180,77,166,0,0,0,0,0,0,0,137,62,0,0,0,0,88,0,0,60,83,0,70,0,398,0,0,0,0,61,0,116,160,56,0,219,71,0,91,100,63,0,0,0,0,0,0,54,209,233,0,0,0,0,0,0,0,0,59,0,0,0,0,0,194,0,0,0,0,0,0,0,63,0,66,114,0,75,0,0,105,0,0,0,460,0,696,488,0,0,96,0,187,85,0,799
4050195201.mzXML,0,61,0,0,0,124,969,42,60,0,0,0,54,68,0,54,0,547,2383,0,0,0,0,68,0,0,0,0,0,55,155,37,0,0,186,52,0,44,41,0,0,67,215,0,44,0,37,0,675,194,43,112,45,88,0,0,70,256,44,40,0,0,40,123,0,0,0,0,0,179,99,164,0,59,0,0,0,0,0,199,60,0,39,0,0,125,67,66,117,96,0,112,0,534,63,47,0,0,72,48,147,192,64,0,321,81,0,153,127,117,0,39,48,0,0,80,61,311,324,50,0,0,0,0,0,0,0,99,43,0,51,0,0,323,0,43,49,0,62,0,41,119,0,88,191,0,68,0,0,155,63,0,0,479,0,1259,712,0,49,119,52,266,144,0,825
4050195213.mzXML,0,0,0,0,0,118,1199,0,0,0,0,0,0,0,0,0,0,278,967,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,102,0,0,0,0,0,0,0,88,0,0,0,0,0,535,90,0,74,0,53,0,0,0,92,0,0,0,0,0,60,0,0,0,0,0,161,65,152,0,0,0,0,0,0,0,87,47,0,0,0,0,59,0,0,44,67,0,41,0,216,0,0,0,0,0,0,90,148,53,0,123,60,0,70,82,45,0,0,0,0,0,0,43,178,138,0,0,0,0,0,0,0,0,41,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,51,68,0,66,0,0,64,0,0,0,299,0,630,300,0,0,74,0,144,55,0,774
4050195225.mzXML,0,0,0,0,0,112,1115,0,0,0,0,0,0,42,0,0,0,319,1338,0,0,0,0,44,0,0,0,0,0,0,82,0,0,0,116,0,0,0,0,0,0,0,110,0,0,0,0,0,540,108,0,77,0,58,0,0,47,122,0,0,0,0,0,78,0,0,0,0,0,182,67,169,0,0,0,0,0,0,0,122,45,0,0,0,0,75,0,0,53,60,0,59,0,343,0,0,0,0,41,0,101,150,52,0,184,61,0,76,95,50,0,0,0,0,0,0,42,187,195,0,0,0,0,0,0,0,0,39,0,0,0,0,0,152,0,39,0,0,0,0,0,53,0,63,103,0,66,0,0,93,0,0,0,321,0,797,433,0,0,83,0,151,63,0,876
4050195683.mzXML,0,0,0,0,0,124,787,0,0,0,0,0,0,0,0,0,0,187,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,478,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,97,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,120,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,145,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,646,0,510,163,0,0,0,0,137,0,0,595
4050195695.mzXML,0,65,16,35,27,97,660,35,59,17,25,36,55,64,23,44,15,574,2409,0,22,36,21,57,20,28,26,19,15,59,176,35,17,24,152,56,30,37,33,27,21,63,228,24,32,20,29,18,567,196,49,107,51,79,20,27,69,240,41,40,25,30,40,120,18,18,47,33,28,171,92,121,29,68,23,18,16,19,33,199,52,17,28,15,22,121,66,70,106,81,22,116,18,536,58,39,19,16,65,42,151,190,57,0,334,76,19,150,121,103,34,34,43,25,26,77,44,265,352,62,18,15,31,16,28,0,16,100,43,20,43,24,17,306,20,34,47,18,66,31,38,106,29,102,190,32,49,27,28,151,67,28,23,322,27,1040,749,26,45,121,54,264,144,29,822
4050195816.mzXML,0,0,0,0,0,140,1229,0,0,0,0,0,0,63,0,0,0,424,1831,0,0,0,0,61,0,0,0,0,0,0,118,0,0,0,140,0,0,0,0,0,0,0,179,0,0,0,0,0,523,155,0,89,0,74,0,0,67,180,0,0,0,0,0,108,0,0,0,0,0,193,98,169,0,0,0,0,0,0,0,162,66,0,0,0,0,105,0,0,79,91,0,84,0,423,0,0,0,0,60,0,127,183,57,0,275,78,0,115,106,93,0,0,0,0,0,0,0,245,271,0,0,0,0,0,0,0,0,72,0,0,0,0,0,238,0,0,0,0,0,0,0,71,0,81,136,0,89,0,0,113,0,0,0,497,0,907,560,0,0,114,0,239,94,0,960
4050195828.mzXML,0,0,0,0,0,137,1012,0,56,0,0,0,68,63,0,0,0,507,1870,0,0,0,0,71,0,0,0,0,0,55,113,0,0,0,160,0,0,0,0,0,0,61,175,0,0,0,0,0,671,164,55,90,0,84,0,0,60,182,0,0,0,0,0,112,0,0,0,0,0,197,97,169,0,61,0,0,0,0,0,157,57,0,0,0,0,107,0,60,106,86,0,77,0,399,0,0,0,0,61,0,124,176,57,0,270,77,0,135,118,99,0,0,0,0,0,73,58,273,260,0,0,0,0,0,0,0,0,85,0,0,55,0,0,260,0,0,0,0,0,0,0,81,0,78,129,0,81,0,0,106,57,0,0,542,0,1036,569,0,0,112,0,254,98,0,887
4050195840.mzXML,0,0,0,0,0,131,1259,38,39,0,0,0,47,47,0,0,0,339,1338,0,0,0,0,49,0,0,0,0,0,41,82,0,0,0,115,0,0,0,0,0,0,0,132,0,0,0,0,0,503,111,38,74,0,69,0,0,45,123,0,0,0,0,0,70,0,0,0,0,0,214,81,179,0,0,0,0,0,0,0,114,64,0,0,0,0,73,0,40,54,71,0,59,0,290,0,0,0,0,51,0,81,141,47,0,189,61,0,87,106,66,0,0,0,0,0,44,48,192,189,0,0,0,0,0,0,0,0,54,0,0,0,0,0,157,0,0,0,0,0,0,0,52,0,59,104,0,65,0,0,96,39,0,0,308,0,767,411,0,0,87,0,179,62,0,840
