food,r,p,orig_term,ont_level
milk_cow,-0.8714761235160147,0,milk_cow,L5
sugarcane,-0.8004748489945639,0,sugarcane,L5
soda,-0.7740956412717332,0,soda,L5
apple,-0.7548335048520164,0,apple,L5
coffee,-0.7483471281048407,0,coffee,L5
grape_fermented,-0.6973821922227544,0,grape_fermented,L5
poultry,-0.6724548205471054,0,poultry.y,L4
chicken,-0.5427213007562223,0,chicken,L5
dairy,-0.5326659463348288,0,dairy,L3
beef,-0.5281551586395163,0,beef,L5
grain_fermented,-0.4981377045160534,0,grain_fermented,L5
pig,-0.4775793513623759,0,pig.y,L5
apple_cider,-0.46356514942455945,0,apple_cider,L5
pome,-0.4549846043608696,0,pome,L4
yogurt_cow,-0.44966363238268803,0,yogurt_cow,L5
cow,-0.43102452664481283,0,cow,L4
cream,-0.4207968823600546,0,cream.y,L5
yogurt,-0.38531442775857316,0,yogurt,L4
mackerel,-0.349148484628552,0,mackerel,L5
meat,-0.34536226467757875,0,meat,L3
milk,-0.3289825618250398,0,milk.y,L5
drupe,-0.22672309594199425,5.156763904778927e-12,drupe,L4
tomato,0.20024332155823438,1.2222864942401657e-9,tomato,L5
quinoa,0.20193351554608155,8.806304574449086e-10,quinoa,L5
lemon,0.21902215190430296,2.723021808037629e-11,lemon,L5
banana,0.22003045935046464,2.1975532504825424e-11,banana,L5
seafood,0.22280464478087034,1.2117418179968809e-11,seafood,L3
peanut,0.2268045922519171,5.064837438339964e-12,peanut,L5
apricot,0.23927573804609534,2.9976021664879227e-13,apricot,L5
carrot,0.2871866245512078,0,carrot,L5
onion,0.29710216409466195,0,onion,L5
smelt,0.3182100574163715,0,smelt,L5
grain.grass,0.35107915565227654,0,grain.grass.y,L4
herring,0.35258900088345924,0,herring,L5
fish_freshwater,0.35653622945374147,0,fish_freshwater,L4
butterfish,0.3629258468359454,0,butterfish,L5
pseudocarp,0.38775147772172963,0,pseudocarp,L4
strawberry,0.3882269599286131,0,strawberry,L5
cheese,0.3945152176463903,0,cheese,L5
vegetable.herb,0.4070546509274156,0,vegetable.herb,L3
lentil,0.4075712357733632,0,lentil,L5
corn,0.42909557653633246,0,corn,L5
bean,0.44132235433626277,0,bean,L5
fungi,0.46516145673418813,0,fungi,L3
squid,0.4690919671105535,0,squid,L5
oat,0.4839460225603153,0,oat,L5
pepper,0.48487734476988303,0,pepper,L5
egg_chicken,0.49738063145137823,0,egg_chicken,L5
worm,0.5003474760734888,0,worm.y,L5
mouse,0.5074767258839525,0,mouse.y,L5
invertebrate,0.5173180733928477,0,invertebrate,L3
flower,0.518701096712934,0,flower,L5
drupe_aggregate,0.5214325784209853,0,drupe_aggregate,L4
vegetable,0.5227969017012625,0,vegetable,L4
legume,0.5361443401018612,0,legume.y,L4
blueberry,0.5398443882670292,0,blueberry,L5
mushroom,0.5613399538424422,0,mushroom.y,L5
egg_poultry,0.5880371832300315,0,egg_poultry,L4
herb.spice,0.5962579615330552,0,herb.spice,L4
orange,0.6153809630995337,0,orange,L5
lettuce,0.6214591741629704,0,lettuce,L5
grape,0.6348711138531905,0,grape,L5
egg,0.6365218918209326,0,egg,L3
cucumber,0.658469103750993,0,cucumber,L5
pepo,0.7483345711637602,0,pepo,L4
