from,to,weight,pval,padj,direction,padj_sig,Group,Cohort
algae,shannon,0.14732236582920238,0.04195804195804196,0.0722448040493903,pos,NS,UC,IBD_1
almond,shannon,-0.4365640957550988,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
amaranth,shannon,-0.23080432632408282,0.04595404595404595,0.07750257554945054,neg,NS,UC,IBD_1
anchovy,shannon,-0.37637407287266655,0.002997002997002997,0.0102899088982588,neg,SIG,UC,IBD_1
ant,shannon,-0.3519266558368083,0.007992007992007992,0.020032217419735564,neg,SIG,UC,IBD_1
apple,shannon,-0.1540363423243148,0.028971028971028972,0.053856799820201334,neg,NS,UC,IBD_1
apple_cider,shannon,-0.10308731922486533,0.014985014985014986,0.03347881096910851,neg,SIG,UC,IBD_1
apricot,shannon,0.015199817940933877,0.45054945054945056,0.4620539792748819,pos,NS,UC,IBD_1
artichoke,shannon,-0.3826935555243988,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
artificial sweetener,shannon,-0.04428733298437838,0.2007992007992008,0.24455586726390677,neg,NS,UC,IBD_1
arugula,shannon,-0.13410074728107857,0.11788211788211789,0.16055395708392553,neg,NS,UC,IBD_1
asparagus,shannon,-0.2661231625928272,0.03596403596403597,0.06363718248964152,neg,NS,UC,IBD_1
avocado,shannon,-0.2393694316598146,0.01998001998001998,0.041572884946378924,neg,SIG,UC,IBD_1
banana,shannon,-0.45404858639060985,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
barley,shannon,-0.26089697360663855,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
basil,shannon,0.08760905059583102,0.10989010989010989,0.15243391147005605,pos,NS,UC,IBD_1
bean,shannon,-0.4818300063152015,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
beef,shannon,-0.666771738920207,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
beet,shannon,-0.04130455741492771,0.32967032967032966,0.36309991029378785,neg,NS,UC,IBD_1
betel nut,shannon,0.14732236582920238,0.04195804195804196,0.0722448040493903,pos,NS,UC,IBD_1
bison,shannon,-0.36633490869697494,0.004995004995004995,0.014049468446862584,neg,SIG,UC,IBD_1
blackberry,shannon,-0.07495247370862224,0.2957042957042957,0.33421552269719806,neg,NS,UC,IBD_1
blueberry,shannon,-0.1823235929682531,0.03796203796203796,0.06649131801261618,neg,NS,UC,IBD_1
bonito,shannon,-0.36633490869697494,0.004995004995004995,0.014049468446862584,neg,SIG,UC,IBD_1
bony fish,shannon,-0.23431013236858256,0.04195804195804196,0.0722448040493903,neg,NS,UC,IBD_1
buckwheat,shannon,-0.3421088547771508,0.001998001998001998,0.007932297587470001,neg,SIG,UC,IBD_1
butter,shannon,-0.24144965265183804,0.04395604395604396,0.07471662196071646,neg,NS,UC,IBD_1
butterfish,shannon,-0.6671556321307431,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
cabbage,shannon,-0.1918036557318775,0.06593406593406594,0.10194103121587456,neg,NS,UC,IBD_1
cardamom,shannon,0.06564722921215801,0.16083916083916083,0.2060602602145629,pos,NS,UC,IBD_1
carrot,shannon,-0.5012369849193735,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
cashew,shannon,-0.47463746965547193,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
cauliflower,shannon,-0.19321236956979143,0.0919080919080919,0.13315878752120364,neg,NS,UC,IBD_1
celery,shannon,-0.2838009324389497,0.01098901098901099,0.02606871150827195,neg,SIG,UC,IBD_1
chard,shannon,-0.22869346264474638,0.029970029970029972,0.05482864593034085,neg,NS,UC,IBD_1
cheddar cheese,shannon,-0.13712785740705513,0.12687312687312688,0.1705135331594476,neg,NS,UC,IBD_1
cherry,shannon,-0.11691229540021865,0.18181818181818182,0.22573687994248742,neg,NS,UC,IBD_1
chia,shannon,-0.41566274107776496,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
chicken,shannon,-0.655456839372666,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
cicerchia,shannon,-0.2207871587877557,0.04295704295704296,0.07359802895517181,neg,NS,UC,IBD_1
cilantro,shannon,-0.21983032279680337,0.03796203796203796,0.06649131801261618,neg,NS,UC,IBD_1
cinnamon,shannon,0.13567088044049752,0.06793206793206794,0.10428327228327229,pos,NS,UC,IBD_1
clementine,shannon,0.13567088044049752,0.06793206793206794,0.10428327228327229,pos,NS,UC,IBD_1
coconut,shannon,-0.2547358685053158,0.052947052947052944,0.08659049284049285,neg,NS,UC,IBD_1
cod,shannon,0.13567088044049752,0.06793206793206794,0.10428327228327229,pos,NS,UC,IBD_1
coffee,shannon,-0.16795442552835874,0.02197802197802198,0.04418631426780437,neg,SIG,UC,IBD_1
corn,shannon,-0.65416841755797,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
corn husk,shannon,-0.023407171682375688,0.2887112887112887,0.3278135408312923,neg,NS,UC,IBD_1
cranberry,shannon,-0.00719352131814293,0.44955044955044954,0.461303402479873,neg,NS,UC,IBD_1
cream,shannon,-0.2130011896232085,0.005994005994005994,0.016174450549450547,neg,SIG,UC,IBD_1
cricket,shannon,-0.4747508868052931,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
cucumber,shannon,-0.4825173134633768,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
dill,shannon,-0.36633490869697494,0.004995004995004995,0.014049468446862584,neg,SIG,UC,IBD_1
duck,shannon,-0.5262295917815273,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
egg_chicken,shannon,-0.6724018601685721,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
egg_quail,shannon,-0.40390832432720214,0.001998001998001998,0.007932297587470001,neg,SIG,UC,IBD_1
eggplant,shannon,-0.18635506143569705,0.007992007992007992,0.020032217419735564,neg,SIG,UC,IBD_1
farro,shannon,-0.3205560841348192,0.007992007992007992,0.020032217419735564,neg,SIG,UC,IBD_1
fava bean,shannon,-0.3371981424728861,0.006993006993006993,0.018243086218917036,neg,SIG,UC,IBD_1
feta cheese,shannon,0.1997491175557185,0.05094905094905095,0.08420001051579999,pos,NS,UC,IBD_1
fig,shannon,-0.30403924855759523,0.011988011988011988,0.0282446066893543,neg,SIG,UC,IBD_1
fish_undetermined,shannon,-0.551254746755453,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
flax seed,shannon,-0.36633490869697494,0.004995004995004995,0.014049468446862584,neg,SIG,UC,IBD_1
garlic,shannon,-0.2699162132187224,0.013986013986013986,0.03203427871862885,neg,SIG,UC,IBD_1
ginger,shannon,-0.18705152108493994,0.060939060939060936,0.09664073300436936,neg,NS,UC,IBD_1
goat cheese,shannon,-0.2069190233993183,0.02097902097902098,0.042674639847784725,neg,SIG,UC,IBD_1
grain_fermented,shannon,-0.024997435795833765,0.24875124875124874,0.29046207342353386,neg,NS,UC,IBD_1
grape,shannon,-0.18623143930222627,0.04895104895104895,0.08175866686504984,neg,NS,UC,IBD_1
grape_fermented,shannon,-0.26898684863375416,0.003996003996003996,0.012022820385189722,neg,SIG,UC,IBD_1
grapefruit,shannon,-0.09757235931159522,0.013986013986013986,0.03203427871862885,neg,SIG,UC,IBD_1
guava,shannon,-0.15806097569897903,0.12487512487512488,0.16822101455486793,neg,NS,UC,IBD_1
hazelnut,shannon,-0.36633490869697494,0.004995004995004995,0.014049468446862584,neg,SIG,UC,IBD_1
hearts of palm,shannon,-0.3098517832934309,0.013986013986013986,0.03203427871862885,neg,SIG,UC,IBD_1
hemp seed,shannon,-0.41760933981704007,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
herring,shannon,-0.6621859484601044,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
honey,shannon,0.12743693488924937,0.01898101898101898,0.04022112856468685,pos,SIG,UC,IBD_1
kale,shannon,-0.2807660964372056,0.01998001998001998,0.041572884946378924,neg,SIG,UC,IBD_1
