from,to,weight,pval,padj,direction,padj_sig,Group,Cohort
almond,CRP.value,0.10718064160241474,0.14385614385614387,0.22333127258180793,pos,NS,CD,IBD_200
anchovy,CRP.value,0.07678832716377695,0.060939060939060936,0.16547123288696322,pos,NS,CD,IBD_200
ant,CRP.value,0.053825077296494106,0.07492507492507493,0.17244660101802958,pos,NS,CD,IBD_200
apple,CRP.value,0.01329169068110024,0.2677322677322677,0.3085944262414851,pos,NS,CD,IBD_200
apple_cider,CRP.value,-0.014422354965299344,0.2917082917082917,0.33045079920079923,neg,NS,CD,IBD_200
apricot,CRP.value,0.06700096692147964,0.06893106893106893,0.16821887789629728,pos,NS,CD,IBD_200
artichoke,CRP.value,0.10341999898330187,0.14385614385614387,0.22333127258180793,pos,NS,CD,IBD_200
arugula,CRP.value,0.05080061656352399,0.12287712287712288,0.2188843097934007,pos,NS,CD,IBD_200
asparagus,CRP.value,0.06960963759712398,0.06893106893106893,0.16821887789629728,pos,NS,CD,IBD_200
avocado,CRP.value,0.06792095793267006,0.17482517482517482,0.23213965521657828,pos,NS,CD,IBD_200
banana,CRP.value,0.10025192584600418,0.15384615384615385,0.2273572292369285,pos,NS,CD,IBD_200
barley,CRP.value,0.0654189003292534,0.06893106893106893,0.16821887789629728,pos,NS,CD,IBD_200
basil,CRP.value,0.08811667127583302,0.16583416583416583,0.2273572292369285,pos,NS,CD,IBD_200
bean,CRP.value,0.049649245206431644,0.1918081918081918,0.24788046178420509,pos,NS,CD,IBD_200
beef,CRP.value,0.06949969420055277,0.15484515484515485,0.2273572292369285,pos,NS,CD,IBD_200
beet,CRP.value,0.051655884338862076,0.08091908091908091,0.17777676868585957,pos,NS,CD,IBD_200
betel nut,CRP.value,0.01116070470930098,0.1998001998001998,0.2545784619598328,pos,NS,CD,IBD_200
bison,CRP.value,0.05582874485930403,0.07092907092907093,0.16821887789629728,pos,NS,CD,IBD_200
blackberry,CRP.value,0.06543563507624814,0.09490509490509491,0.19436777911354186,pos,NS,CD,IBD_200
blueberry,CRP.value,0.08165693759164684,0.15984015984015984,0.2273572292369285,pos,NS,CD,IBD_200
bony fish,CRP.value,0.05582874485930403,0.07092907092907093,0.16821887789629728,pos,NS,CD,IBD_200
broccoli,CRP.value,0.05418043957212034,0.10989010989010989,0.20533590121218986,pos,NS,CD,IBD_200
butter,CRP.value,0.0915497217216569,0.1108891108891109,0.20614001383232156,pos,NS,CD,IBD_200
butterfish,CRP.value,0.10119838003538556,0.13686313686313686,0.22333127258180793,pos,NS,CD,IBD_200
cabbage,CRP.value,0.07486531605219476,0.14385614385614387,0.22333127258180793,pos,NS,CD,IBD_200
cardamom,CRP.value,0.013005668611658869,0.2017982017982018,0.2553293129209359,pos,NS,CD,IBD_200
carrot,CRP.value,0.06340926144285261,0.17382617382617382,0.23166172063230886,pos,NS,CD,IBD_200
cashew,CRP.value,0.10179357825693916,0.13086913086913088,0.22333127258180793,pos,NS,CD,IBD_200
cauliflower,CRP.value,0.08736647320833407,0.0979020979020979,0.19882078705608117,pos,NS,CD,IBD_200
celery,CRP.value,0.08486290503796876,0.14585414585414586,0.2235607943853187,pos,NS,CD,IBD_200
chard,CRP.value,0.08490850446562868,0.16183816183816183,0.2273572292369285,pos,NS,CD,IBD_200
cheddar cheese,CRP.value,0.07918443478229191,0.13986013986013987,0.22333127258180793,pos,NS,CD,IBD_200
cherry,CRP.value,0.06953383198271443,0.06793206793206794,0.16821887789629728,pos,NS,CD,IBD_200
chia,CRP.value,0.1023280335849368,0.13686313686313686,0.22333127258180793,pos,NS,CD,IBD_200
chicken,CRP.value,0.09738835248580194,0.1258741258741259,0.22125845514866996,pos,NS,CD,IBD_200
cicerchia,CRP.value,0.05582874485930403,0.07092907092907093,0.16821887789629728,pos,NS,CD,IBD_200
cilantro,CRP.value,0.06820759373538507,0.14185814185814186,0.22333127258180793,pos,NS,CD,IBD_200
clementine,CRP.value,0.049627844808386334,0.12687312687312688,0.22125845514866996,pos,NS,CD,IBD_200
coconut,CRP.value,0.0813162575719518,0.11888111888111888,0.21440002783286366,pos,NS,CD,IBD_200
coffee,CRP.value,8.10198656887983e-5,0.4755244755244755,0.4904057535636483,pos,NS,CD,IBD_200
corn,CRP.value,0.07655836551464304,0.16883116883116883,0.22878990168709795,pos,NS,CD,IBD_200
