from,to,weight,pval,padj,direction,padj_sig,Group,Cohort
ahi tuna,symptoms,-0.12791100461222407,0.15484515484515485,0.3531417562029807,neg,NS,UC,IBD_seed2
almond,symptoms,0.12653665463785155,0.13086913086913088,0.35013849786577056,pos,NS,UC,IBD_seed2
anchovy,symptoms,-0.00844274130706675,0.5254745254745254,0.5334302336573343,neg,NS,UC,IBD_seed2
ant,symptoms,0.0026787854108129353,0.45754245754245754,0.5045474006512968,pos,NS,UC,IBD_seed2
apple,symptoms,0.08845593554819968,0.11388611388611389,0.33639048176493114,pos,NS,UC,IBD_seed2
apple_cider,symptoms,0.008713767696603435,0.3836163836163836,0.4978467478467479,pos,NS,UC,IBD_seed2
apricot,symptoms,0.011345856773225367,0.3626373626373626,0.4914331899256522,pos,NS,UC,IBD_seed2
artichoke,symptoms,0.023611142927039974,0.4075924075924076,0.5045474006512968,pos,NS,UC,IBD_seed2
artificial sweetener,symptoms,-0.12791100461222407,0.15484515484515485,0.3531417562029807,neg,NS,UC,IBD_seed2
arugula,symptoms,-0.12791100461222407,0.15484515484515485,0.3531417562029807,neg,NS,UC,IBD_seed2
asparagus,symptoms,-0.12791100461222407,0.15484515484515485,0.3531417562029807,neg,NS,UC,IBD_seed2
avocado,symptoms,0.04419672080163477,0.36363636363636365,0.4914331899256522,pos,NS,UC,IBD_seed2
banana,symptoms,0.055934246195141216,0.34165834165834164,0.4812645337855422,pos,NS,UC,IBD_seed2
basil,symptoms,0.013965631514032614,0.43456543456543456,0.5045474006512968,pos,NS,UC,IBD_seed2
bay leaf,symptoms,-0.12791100461222407,0.15484515484515485,0.3531417562029807,neg,NS,UC,IBD_seed2
bean,symptoms,0.0974153185952993,0.23876123876123875,0.4188558277165872,pos,NS,UC,IBD_seed2
beef,symptoms,0.19275075051787882,0.08391608391608392,0.3048882152330428,pos,NS,UC,IBD_seed2
beet,symptoms,-0.04210564925903184,0.22077922077922077,0.40780294086079205,neg,NS,UC,IBD_seed2
betel nut,symptoms,-0.12791100461222407,0.15484515484515485,0.3531417562029807,neg,NS,UC,IBD_seed2
bison,symptoms,-0.23808828180045213,0.001998001998001998,0.036207036207036206,neg,SIG,UC,IBD_seed2
blueberry,symptoms,-0.05442488005210283,0.2547452547452547,0.4259518536326516,neg,NS,UC,IBD_seed2
bonito,symptoms,-0.12791100461222407,0.15484515484515485,0.3531417562029807,neg,NS,UC,IBD_seed2
bony fish,symptoms,-0.12791100461222407,0.15484515484515485,0.3531417562029807,neg,NS,UC,IBD_seed2
broccoli,symptoms,0.017307283524352096,0.4025974025974026,0.5045474006512968,pos,NS,UC,IBD_seed2
brussel sprout,symptoms,-0.12791100461222407,0.15484515484515485,0.3531417562029807,neg,NS,UC,IBD_seed2
butter,symptoms,0.06820475356322087,0.2677322677322677,0.43413418504107737,pos,NS,UC,IBD_seed2
butterfish,symptoms,0.0980320602519944,0.22377622377622378,0.41051151311069234,pos,NS,UC,IBD_seed2
