from,to,weight,pval,padj,direction,padj_sig,Group,Cohort
almond,bowel_movements_daily,0.034463792553227915,0.3126873126873127,0.3834319526627219,pos,NS,UC,IBD_seed
apple,bowel_movements_daily,0.05104897535057608,0.2967032967032967,0.3834319526627219,pos,NS,UC,IBD_seed
apple_cider,bowel_movements_daily,0.03958649594833674,0.33166833166833165,0.38743557327628125,pos,NS,UC,IBD_seed
artichoke,bowel_movements_daily,0.034463792553227915,0.3126873126873127,0.3834319526627219,pos,NS,UC,IBD_seed
avocado,bowel_movements_daily,0.02936875981343401,0.25874125874125875,0.3834319526627219,pos,NS,UC,IBD_seed
banana,bowel_movements_daily,0.03691922160061602,0.33166833166833165,0.38743557327628125,pos,NS,UC,IBD_seed
basil,bowel_movements_daily,0.009082349925629531,0.3886113886113886,0.4193191005180106,pos,NS,UC,IBD_seed
bean,bowel_movements_daily,0.0594303355622991,0.3096903096903097,0.3834319526627219,pos,NS,UC,IBD_seed
beef,bowel_movements_daily,0.06779654311371447,0.2887112887112887,0.3834319526627219,pos,NS,UC,IBD_seed
blueberry,bowel_movements_daily,0.06823094463478403,0.2547452547452547,0.3834319526627219,pos,NS,UC,IBD_seed
butterfish,bowel_movements_daily,0.035109752667311867,0.3206793206793207,0.38503929305116247,pos,NS,UC,IBD_seed
carrot,bowel_movements_daily,0.07354801840239336,0.27372627372627373,0.3834319526627219,pos,NS,UC,IBD_seed
cheddar cheese,bowel_movements_daily,0.010230789640194008,0.34965034965034963,0.3967379325545514,pos,NS,UC,IBD_seed
chia,bowel_movements_daily,0.034463792553227915,0.3126873126873127,0.3834319526627219,pos,NS,UC,IBD_seed
chicken,bowel_movements_daily,0.0534510760908635,0.2597402597402597,0.3834319526627219,pos,NS,UC,IBD_seed
coffee,bowel_movements_daily,0.029213277798042427,0.34265734265734266,0.3910441143870539,pos,NS,UC,IBD_seed
corn,bowel_movements_daily,0.07685863921087278,0.26573426573426573,0.3834319526627219,pos,NS,UC,IBD_seed
corn husk,bowel_movements_daily,0.014357381448501797,0.3246753246753247,0.38503929305116247,pos,NS,UC,IBD_seed
cream,bowel_movements_daily,0.034463792553227915,0.3126873126873127,0.3834319526627219,pos,NS,UC,IBD_seed
cucumber,bowel_movements_daily,0.06083096308887284,0.22577422577422576,0.3834319526627219,pos,NS,UC,IBD_seed
egg_chicken,bowel_movements_daily,0.07531418012238524,0.2547452547452547,0.3834319526627219,pos,NS,UC,IBD_seed
fish_undetermined,bowel_movements_daily,0.034463792553227915,0.3126873126873127,0.3834319526627219,pos,NS,UC,IBD_seed
grain_fermented,bowel_movements_daily,0.05118980354165849,0.3086913086913087,0.3834319526627219,pos,NS,UC,IBD_seed
grape,bowel_movements_daily,0.06083962816914599,0.25774225774225773,0.3834319526627219,pos,NS,UC,IBD_seed
grape_fermented,bowel_movements_daily,0.053100820093048604,0.3006993006993007,0.3834319526627219,pos,NS,UC,IBD_seed
grapefruit,bowel_movements_daily,0.013926186262500948,0.34065934065934067,0.3898875690783205,pos,NS,UC,IBD_seed
herring,bowel_movements_daily,0.03483675757021526,0.3206793206793207,0.38503929305116247,pos,NS,UC,IBD_seed
honey,bowel_movements_daily,0.03368391760727469,0.24875124875124874,0.3834319526627219,pos,NS,UC,IBD_seed
kumquat,bowel_movements_daily,0.009082349925629531,0.3886113886113886,0.4193191005180106,pos,NS,UC,IBD_seed
lamb,bowel_movements_daily,0.034463792553227915,0.3126873126873127,0.3834319526627219,pos,NS,UC,IBD_seed
lemon,bowel_movements_daily,0.05681520991745883,0.23976023976023977,0.3834319526627219,pos,NS,UC,IBD_seed
lentil,bowel_movements_daily,0.034463792553227915,0.3126873126873127,0.3834319526627219,pos,NS,UC,IBD_seed
lettuce,bowel_movements_daily,0.059546378063094846,0.27672327672327673,0.3834319526627219,pos,NS,UC,IBD_seed
lizard,bowel_movements_daily,0.034463792553227915,0.3126873126873127,0.3834319526627219,pos,NS,UC,IBD_seed
mackerel,bowel_movements_daily,0.05968807220387985,0.2897102897102897,0.3834319526627219,pos,NS,UC,IBD_seed
mandarin,bowel_movements_daily,0.03201712962838261,0.3096903096903097,0.3834319526627219,pos,NS,UC,IBD_seed
milk,bowel_movements_daily,0.05408957324696827,0.26173826173826176,0.3834319526627219,pos,NS,UC,IBD_seed
milk_cow,bowel_movements_daily,0.0662217861079428,0.2597402597402597,0.3834319526627219,pos,NS,UC,IBD_seed
milk_goat,bowel_movements_daily,0.034463792553227915,0.3126873126873127,0.3834319526627219,pos,NS,UC,IBD_seed
mouse,bowel_movements_daily,0.07487897068738503,0.2677322677322677,0.3834319526627219,pos,NS,UC,IBD_seed
mushroom,bowel_movements_daily,0.03905856720871329,0.31368631368631367,0.3834319526627219,pos,NS,UC,IBD_seed
oat,bowel_movements_daily,0.046015878730171086,0.29270729270729273,0.3834319526627219,pos,NS,UC,IBD_seed
onion,bowel_movements_daily,0.0735878032574942,0.25674325674325676,0.3834319526627219,pos,NS,UC,IBD_seed
orange,bowel_movements_daily,0.062442738174181805,0.27372627372627373,0.3834319526627219,pos,NS,UC,IBD_seed
peanut,bowel_movements_daily,0.034463792553227915,0.3126873126873127,0.3834319526627219,pos,NS,UC,IBD_seed
pear,bowel_movements_daily,0.034463792553227915,0.3126873126873127,0.3834319526627219,pos,NS,UC,IBD_seed
pepper,bowel_movements_daily,0.07388406314377638,0.27972027972027974,0.3834319526627219,pos,NS,UC,IBD_seed
pig,bowel_movements_daily,0.07925747228117873,0.26673326673326675,0.3834319526627219,pos,NS,UC,IBD_seed
quinoa,bowel_movements_daily,0.03731175869781831,0.3126873126873127,0.3834319526627219,pos,NS,UC,IBD_seed
raspberry,bowel_movements_daily,0.034463792553227915,0.3126873126873127,0.3834319526627219,pos,NS,UC,IBD_seed
rice,bowel_movements_daily,0.05171919245670401,0.2917082917082917,0.3834319526627219,pos,NS,UC,IBD_seed
sardine,bowel_movements_daily,0.034463792553227915,0.3126873126873127,0.3834319526627219,pos,NS,UC,IBD_seed
shrimp,bowel_movements_daily,0.034463792553227915,0.3126873126873127,0.3834319526627219,pos,NS,UC,IBD_seed
silversides,bowel_movements_daily,0.034463792553227915,0.3126873126873127,0.3834319526627219,pos,NS,UC,IBD_seed
smelt,bowel_movements_daily,0.03165581065989217,0.3276723276723277,0.38503929305116247,pos,NS,UC,IBD_seed
soda,bowel_movements_daily,0.03654866487473562,0.1998001998001998,0.3834319526627219,pos,NS,UC,IBD_seed
squid,bowel_movements_daily,0.04134021956808189,0.3036963036963037,0.3834319526627219,pos,NS,UC,IBD_seed
strawberry,bowel_movements_daily,0.04480973513493339,0.2967032967032967,0.3834319526627219,pos,NS,UC,IBD_seed
sweet potato,bowel_movements_daily,0.009082349925629531,0.3886113886113886,0.4193191005180106,pos,NS,UC,IBD_seed
tea,bowel_movements_daily,0.015854741502035384,0.4275724275724276,0.44779494911421036,pos,NS,UC,IBD_seed
tomato,bowel_movements_daily,0.06221938722652633,0.2947052947052947,0.3834319526627219,pos,NS,UC,IBD_seed
trout,bowel_movements_daily,0.06207169563790791,0.2887112887112887,0.3834319526627219,pos,NS,UC,IBD_seed
walnut,bowel_movements_daily,0.034463792553227915,0.3126873126873127,0.3834319526627219,pos,NS,UC,IBD_seed
wheat,bowel_movements_daily,0.056489123902425914,0.2887112887112887,0.3834319526627219,pos,NS,UC,IBD_seed
worm,bowel_movements_daily,0.039591912655019185,0.3146853146853147,0.3834319526627219,pos,NS,UC,IBD_seed
yogurt_cow,bowel_movements_daily,0.055489078328977814,0.3026973026973027,0.3834319526627219,pos,NS,UC,IBD_seed
almond,mayo_endo_score,-0.17805823995183137,0.22377622377622378,0.3834319526627219,neg,NS,UC,IBD_seed
apple,mayo_endo_score,0.0245859680356018,0.42357642357642356,0.44610708440495667,pos,NS,UC,IBD_seed
apple_cider,mayo_endo_score,0.04877467257212623,0.32667332667332666,0.38503929305116247,pos,NS,UC,IBD_seed
artichoke,mayo_endo_score,-0.17805823995183137,0.22377622377622378,0.3834319526627219,neg,NS,UC,IBD_seed
avocado,mayo_endo_score,0.05600740637707492,0.18581418581418582,0.3834319526627219,pos,NS,UC,IBD_seed
banana,mayo_endo_score,-0.14681122162504642,0.23276723276723277,0.3834319526627219,neg,NS,UC,IBD_seed
basil,mayo_endo_score,-0.02227448789903225,0.4015984015984016,0.4298188298188298,neg,NS,UC,IBD_seed
bean,mayo_endo_score,-0.10547089373004326,0.2897102897102897,0.3834319526627219,neg,NS,UC,IBD_seed
beef,mayo_endo_score,-0.07333503780230666,0.35664335664335667,0.40008716495968627,neg,NS,UC,IBD_seed
blueberry,mayo_endo_score,0.051319567022232435,0.3786213786213786,0.41881024003929035,pos,NS,UC,IBD_seed
butterfish,mayo_endo_score,-0.1388516224076239,0.23176823176823177,0.3834319526627219,neg,NS,UC,IBD_seed
carrot,mayo_endo_score,0.0073575667032231284,0.5014985014985015,0.5027681179579914,pos,NS,UC,IBD_seed
cheddar cheese,mayo_endo_score,0.004552082842426652,0.4405594405594406,0.45080500894454384,pos,NS,UC,IBD_seed
chia,mayo_endo_score,-0.17805823995183137,0.22377622377622378,0.3834319526627219,neg,NS,UC,IBD_seed
